Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
female,divorced or separated,18 thru 24,graduated high school,student or hs or college,less than one year,not married,nine or more,five,rent,condominium,white,english,<=25K
female,living together or not married,18 thru 24,grad study,professional/managerial,less than one year,not married,nine or more,none,rent,mobile home,hispanic,spanish,<=25K
male,single or never married,45 thru 54,graduated high school,clerical/service worker,four to six years,not married,five,two,own,condominium,black,english,>25K
male,single or never married,65 and over,1 to 3 years of college,military,four to six years,no,one,none,rent,condominium,pacific islander,other,>25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,single or never married,18 thru 24,grad study,professional/managerial,seven to ten years,not married,one,none,own,condominium,asian,english,>25K
female,single or never married,55 thru 64,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,own,house,white,english,>25K
female,living together or not married,45 thru 54,1 to 3 years of college,professional/managerial,seven to ten years,yes,two,none,own,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,one to three years,no,nine or more,five,live with parents/family,apartment,white,english,<=25K
female,single or never married,18 thru 24,grad study,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english,>25K
male,married,55 thru 64,1 to 3 years of college,retired,four to six years,yes,four,two,rent,apartment,pacific islander,english,>25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,no,two,none,own,mobile home,white,english,>25K
female,married,25 thru 34,graduated high school,homemaker,less than one year,no,seven,five,rent,house,white,english,>25K
female,married,35 thru 44,graduated high school,homemaker,more than ten years,no,four,none,own,house,other,english,>25K
female,living together or not married,25 thru 34,grades 9 to 11,unemployed,more than ten years,yes,seven,four,own,mobile home,american indian,english,>25K
female,divorced or separated,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,none,own,house,asian,english,<=25K
female,single or never married,45 thru 54,1 to 3 years of college,homemaker,one to three years,not married,four,nine or more,rent,mobile home,hispanic,english,<=25K
female,married,45 thru 54,1 to 3 years of college,clerical/service worker,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,18 thru 24,college graduate,professional/managerial,one to three years,yes,three,one,rent,house,white,english,>25K
male,single or never married,25 thru 34,college graduate,clerical/service worker,less than one year,no,seven,nine or more,rent,condominium,white,english,<=25K
female,single or never married,25 thru 34,college graduate,sales worker,more than ten years,not married,one,five,rent,house,white,spanish,<=25K
female,living together or not married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,yes,two,none,rent,house,white,english,>25K
male,married,18 thru 24,college graduate,professional/managerial,less than one year,no,six,nine or more,rent,condominium,pacific islander,spanish,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,seven to ten years,not married,three,none,own,house,hispanic,spanish,>25K
male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english,>25K
male,single or never married,25 thru 34,grad study,professional/managerial,one to three years,not married,one,none,rent,house,white,english,>25K
female,married,45 thru 54,college graduate,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,three,none,rent,house,other,english,>25K
male,single or never married,18 thru 24,graduated high school,unemployed,seven to ten years,not married,one,two,live with parents/family,house,pacific islander,other,>25K
female,married,18 thru 24,graduated high school,unemployed,more than ten years,not married,four,four,rent,house,pacific islander,english,<=25K
male,single or never married,45 thru 54,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english,>25K
male,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,black,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,four to six years,not married,three,two,own,house,white,spanish,<=25K
female,widowed,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,seven,three,own,mobile home,pacific islander,english,<=25K
male,married,18 thru 24,college graduate,military,less than one year,no,two,one,rent,other,white,english,<=25K
male,married,18 thru 24,graduated high school,clerical/service worker,more than ten years,yes,two,seven,rent,house,white,other,<=25K
male,living together or not married,18 thru 24,1 to 3 years of college,retired,more than ten years,yes,eight,three,own,other,hispanic,spanish,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,three,none,rent,apartment,asian,english,>25K
male,single or never married,35 thru 44,grad study,professional/managerial,less than one year,not married,two,none,own,mobile home,white,other,<=25K
female,divorced or separated,18 thru 24,college graduate,clerical/service worker,more than ten years,not married,two,none,rent,other,east indian,spanish,<=25K
male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,four,one,own,house,white,english,>25K
female,married,25 thru 34,college graduate,homemaker,more than ten years,no,five,three,own,house,white,english,>25K
female,divorced or separated,25 thru 34,college graduate,retired,one to three years,not married,two,none,rent,house,asian,english,<=25K
male,living together or not married,35 thru 44,grad study,retired,more than ten years,yes,nine or more,six,live with parents/family,house,white,other,<=25K
female,married,45 thru 54,graduated high school,factory worker/laborer/driver,one to three years,yes,four,one,own,house,white,english,>25K
female,single or never married,35 thru 44,graduated high school,homemaker,more than ten years,no,five,one,live with parents/family,house,other,english,>25K
female,married,45 thru 54,1 to 3 years of college,homemaker,seven to ten years,no,four,two,own,house,white,english,>25K
female,living together or not married,25 thru 34,graduated high school,sales worker,seven to ten years,no,seven,nine or more,rent,other,asian,spanish,<=25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,less than one year,not married,one,four,own,mobile home,asian,spanish,<=25K
male,single or never married,18 thru 24,grade 8 or less,student or hs or college,more than ten years,no,two,nine or more,own,condominium,black,english,<=25K
male,single or never married,25 thru 34,college graduate,student or hs or college,more than ten years,not married,one,none,rent,apartment,white,english,<=25K
female,married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,yes,four,two,rent,house,white,english,>25K
female,divorced or separated,25 thru 34,grad study,professional/managerial,one to three years,no,seven,five,own,house,white,spanish,<=25K
male,single or never married,18 thru 24,grades 9 to 11,unemployed,more than ten years,not married,three,seven,rent,apartment,asian,spanish,<=25K
female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,four,none,own,house,white,english,>25K
female,single or never married,25 thru 34,graduated high school,student or hs or college,one to three years,not married,nine or more,nine or more,own,house,white,english,<=25K
female,single or never married,25 thru 34,grade 8 or less,student or hs or college,four to six years,not married,five,three,rent,condominium,asian,english,<=25K
male,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,single or never married,14 thru 17,college graduate,clerical/service worker,more than ten years,not married,four,two,live with parents/family,mobile home,asian,spanish,<=25K
female,living together or not married,18 thru 24,grades 9 to 11,student or hs or college,four to six years,yes,nine or more,one,live with parents/family,mobile home,east indian,english,<=25K
male,married,55 thru 64,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,65 and over,1 to 3 years of college,retired,one to three years,no,two,none,own,condominium,white,english,>25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,no,four,two,own,house,white,english,>25K
female,married,65 and over,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english,>25K
male,divorced or separated,18 thru 24,graduated high school,factory worker/laborer/driver,less than one year,not married,nine or more,five,rent,condominium,other,english,>25K
female,widowed,45 thru 54,graduated high school,professional/managerial,four to six years,not married,six,none,rent,mobile home,white,other,<=25K
female,married,65 and over,college graduate,professional/managerial,seven to ten years,no,two,none,own,house,white,english,>25K
female,divorced or separated,25 thru 34,1 to 3 years of college,military,less than one year,no,two,three,rent,other,east indian,spanish,<=25K
female,single or never married,14 thru 17,graduated high school,unemployed,more than ten years,not married,five,one,live with parents/family,house,white,english,>25K
male,single or never married,25 thru 34,grad study,student or hs or college,more than ten years,not married,one,none,rent,mobile home,white,other,>25K
male,single or never married,35 thru 44,grades 9 to 11,retired,one to three years,yes,four,none,rent,mobile home,american indian,other,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,homemaker,one to three years,no,seven,nine or more,own,other,east indian,spanish,>25K
male,divorced or separated,45 thru 54,1 to 3 years of college,factory worker/laborer/driver,more than ten years,yes,nine or more,two,own,apartment,hispanic,spanish,>25K
female,divorced or separated,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,eight,none,rent,house,pacific islander,english,<=25K
female,single or never married,45 thru 54,graduated high school,professional/managerial,less than one year,not married,six,nine or more,rent,mobile home,asian,english,<=25K
male,living together or not married,65 and over,1 to 3 years of college,retired,more than ten years,no,three,none,rent,house,hispanic,english,>25K
male,living together or not married,55 thru 64,graduated high school,student or hs or college,more than ten years,not married,one,none,rent,mobile home,east indian,spanish,<=25K
female,married,25 thru 34,graduated high school,homemaker,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,25 thru 34,grad study,professional/managerial,one to three years,yes,one,none,live with parents/family,other,american indian,spanish,<=25K
male,living together or not married,45 thru 54,college graduate,professional/managerial,more than ten years,not married,two,none,own,house,white,english,>25K
female,married,45 thru 54,grad study,retired,seven to ten years,no,two,none,own,house,white,english,>25K
male,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,>25K
male,married,25 thru 34,college graduate,student or hs or college,seven to ten years,not married,two,nine or more,own,condominium,hispanic,spanish,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,four to six years,yes,two,none,own,house,white,english,>25K
female,living together or not married,18 thru 24,grade 8 or less,professional/managerial,four to six years,not married,five,none,rent,house,white,other,<=25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english,>25K
male,married,45 thru 54,1 to 3 years of college,clerical/service worker,more than ten years,yes,five,none,own,house,white,english,>25K
female,single or never married,55 thru 64,1 to 3 years of college,student or hs or college,less than one year,yes,two,none,live with parents/family,condominium,asian,spanish,>25K
male,divorced or separated,35 thru 44,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,other,english,>25K
female,divorced or separated,55 thru 64,grad study,professional/managerial,four to six years,not married,one,none,rent,house,white,english,>25K
male,living together or not married,18 thru 24,1 to 3 years of college,student or hs or college,seven to ten years,not married,five,none,rent,mobile home,white,english,<=25K
male,widowed,25 thru 34,grad study,unemployed,more than ten years,no,six,none,rent,condominium,white,english,<=25K
female,widowed,14 thru 17,grade 8 or less,sales worker,more than ten years,yes,three,three,rent,house,east indian,other,<=25K
female,married,45 thru 54,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,18 thru 24,grade 8 or less,sales worker,more than ten years,yes,one,none,live with parents/family,other,asian,other,>25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,seven to ten years,not married,three,one,live with parents/family,house,black,other,<=25K
male,single or never married,25 thru 34,graduated high school,military,more than ten years,not married,two,five,own,apartment,asian,english,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,two,own,house,white,english,>25K
female,married,25 thru 34,1 to 3 years of college,homemaker,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,less than one year,no,four,none,own,apartment,black,english,>25K
male,single or never married,65 and over,1 to 3 years of college,student or hs or college,more than ten years,yes,five,one,own,apartment,asian,english,<=25K
male,divorced or separated,25 thru 34,graduated high school,retired,less than one year,not married,one,none,own,apartment,pacific islander,english,>25K
female,married,25 thru 34,grad study,professional/managerial,four to six years,yes,two,none,own,house,white,english,>25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,35 thru 44,grad study,professional/managerial,four to six years,yes,three,one,own,condominium,white,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,live with parents/family,house,white,english,>25K
male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,no,three,one,own,house,white,english,>25K
female,married,18 thru 24,grades 9 to 11,unemployed,seven to ten years,yes,one,two,live with parents/family,house,black,spanish,<=25K
male,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,<=25K
female,married,55 thru 64,grade 8 or less,retired,more than ten years,not married,two,none,rent,house,east indian,other,<=25K
male,married,14 thru 17,college graduate,student or hs or college,seven to ten years,no,two,two,rent,condominium,american indian,spanish,<=25K
female,single or never married,55 thru 64,graduated high school,homemaker,less than one year,no,one,five,live with parents/family,apartment,white,spanish,<=25K
female,widowed,18 thru 24,graduated high school,factory worker/laborer/driver,seven to ten years,not married,one,four,rent,condominium,white,english,>25K
female,married,45 thru 54,graduated high school,homemaker,more than ten years,no,two,none,own,house,white,english,>25K
female,married,45 thru 54,college graduate,homemaker,four to six years,no,two,none,own,house,white,english,>25K
female,married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,yes,nine or more,five,own,house,american indian,spanish,<=25K
female,single or never married,14 thru 17,grade 8 or less,clerical/service worker,more than ten years,no,four,two,live with parents/family,house,white,english,>25K
female,living together or not married,25 thru 34,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,single or never married,55 thru 64,grades 9 to 11,unemployed,seven to ten years,no,three,none,rent,house,pacific islander,spanish,<=25K
female,married,25 thru 34,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,35 thru 44,college graduate,professional/managerial,more than ten years,no,seven,one,rent,apartment,asian,english,>25K
female,single or never married,65 and over,1 to 3 years of college,student or hs or college,less than one year,not married,nine or more,four,rent,apartment,pacific islander,other,<=25K
male,living together or not married,18 thru 24,college graduate,professional/managerial,more than ten years,yes,one,none,live with parents/family,house,east indian,other,<=25K
female,widowed,55 thru 64,1 to 3 years of college,retired,seven to ten years,not married,one,four,own,other,white,spanish,<=25K
female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,three,none,own,house,white,english,>25K
male,married,14 thru 17,grad study,clerical/service worker,four to six years,not married,two,two,own,house,asian,other,>25K
male,divorced or separated,18 thru 24,college graduate,professional/managerial,one to three years,not married,one,two,rent,condominium,east indian,english,<=25K
male,single or never married,14 thru 17,grad study,sales worker,four to six years,not married,nine or more,none,live with parents/family,mobile home,white,spanish,<=25K
female,single or never married,35 thru 44,college graduate,professional/managerial,more than ten years,not married,four,one,live with parents/family,house,white,english,>25K
female,married,35 thru 44,college graduate,professional/managerial,four to six years,yes,five,three,own,house,white,english,>25K
female,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,three,none,rent,house,asian,english,>25K
male,divorced or separated,18 thru 24,1 to 3 years of college,student or hs or college,seven to ten years,yes,six,two,live with parents/family,house,white,spanish,>25K
female,married,45 thru 54,1 to 3 years of college,sales worker,more than ten years,no,two,none,own,house,white,english,>25K
male,married,35 thru 44,graduated high school,factory worker/laborer/driver,four to six years,yes,five,three,own,house,hispanic,spanish,>25K
female,living together or not married,35 thru 44,grades 9 to 11,clerical/service worker,one to three years,yes,nine or more,nine or more,rent,mobile home,hispanic,other,>25K
male,widowed,25 thru 34,college graduate,homemaker,less than one year,not married,six,none,own,condominium,east indian,english,>25K
male,married,18 thru 24,graduated high school,professional/managerial,more than ten years,no,three,none,live with parents/family,house,pacific islander,other,<=25K
female,married,55 thru 64,graduated high school,homemaker,more than ten years,no,two,none,own,mobile home,white,english,>25K
male,single or never married,14 thru 17,grades 9 to 11,sales worker,less than one year,not married,three,none,live with parents/family,condominium,asian,spanish,>25K
male,living together or not married,35 thru 44,1 to 3 years of college,clerical/service worker,seven to ten years,not married,nine or more,none,own,mobile home,east indian,english,<=25K
female,living together or not married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,living together or not married,65 and over,grades 9 to 11,military,less than one year,not married,nine or more,six,live with parents/family,apartment,american indian,english,>25K
female,living together or not married,25 thru 34,grades 9 to 11,retired,more than ten years,not married,five,nine or more,rent,apartment,pacific islander,english,<=25K
female,widowed,18 thru 24,grade 8 or less,sales worker,less than one year,yes,three,five,live with parents/family,house,hispanic,english,<=25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,living together or not married,45 thru 54,grad study,professional/managerial,more than ten years,no,two,none,live with parents/family,condominium,white,spanish,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,sales worker,less than one year,no,four,two,rent,house,white,english,<=25K
male,living together or not married,35 thru 44,graduated high school,homemaker,one to three years,no,nine or more,three,own,house,black,english,>25K
female,single or never married,14 thru 17,grad study,student or hs or college,less than one year,not married,nine or more,four,live with parents/family,other,black,spanish,>25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,living together or not married,25 thru 34,1 to 3 years of college,unemployed,one to three years,no,five,none,rent,apartment,pacific islander,other,<=25K
male,divorced or separated,25 thru 34,college graduate,sales worker,more than ten years,not married,six,two,live with parents/family,apartment,white,english,<=25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,yes,six,three,live with parents/family,other,white,spanish,<=25K
male,divorced or separated,18 thru 24,grade 8 or less,student or hs or college,one to three years,no,six,none,own,condominium,asian,other,<=25K
female,divorced or separated,25 thru 34,college graduate,professional/managerial,more than ten years,no,eight,none,own,apartment,hispanic,other,>25K
female,single or never married,35 thru 44,grade 8 or less,student or hs or college,more than ten years,not married,nine or more,nine or more,live with parents/family,other,pacific islander,english,<=25K
male,living together or not married,45 thru 54,grades 9 to 11,retired,four to six years,yes,eight,nine or more,own,house,east indian,english,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,one,none,live with parents/family,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,house,black,english,>25K
male,divorced or separated,14 thru 17,grade 8 or less,unemployed,more than ten years,no,eight,one,rent,house,white,english,<=25K
female,single or never married,18 thru 24,grade 8 or less,factory worker/laborer/driver,one to three years,yes,two,none,rent,other,white,english,<=25K
male,single or never married,18 thru 24,grade 8 or less,student or hs or college,one to three years,not married,four,five,rent,house,hispanic,english,<=25K
female,married,25 thru 34,grades 9 to 11,homemaker,more than ten years,yes,five,three,rent,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,seven to ten years,no,two,four,live with parents/family,house,east indian,other,<=25K
female,single or never married,18 thru 24,graduated high school,student or hs or college,one to three years,not married,nine or more,none,own,house,hispanic,spanish,<=25K
female,divorced or separated,65 and over,graduated high school,retired,more than ten years,not married,two,nine or more,rent,apartment,white,other,<=25K
male,divorced or separated,35 thru 44,college graduate,sales worker,more than ten years,not married,three,two,rent,apartment,white,english,>25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,seven to ten years,not married,four,five,own,house,asian,other,<=25K
female,living together or not married,18 thru 24,graduated high school,student or hs or college,more than ten years,yes,six,nine or more,rent,house,asian,spanish,<=25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english,<=25K
male,widowed,18 thru 24,graduated high school,student or hs or college,less than one year,no,four,none,live with parents/family,house,white,english,>25K
female,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,no,six,two,live with parents/family,other,hispanic,english,<=25K
male,single or never married,18 thru 24,college graduate,sales worker,seven to ten years,no,three,four,live with parents/family,house,hispanic,english,<=25K
male,married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,two,none,own,house,hispanic,spanish,>25K
female,single or never married,65 and over,college graduate,sales worker,four to six years,no,nine or more,two,rent,other,east indian,other,>25K
male,living together or not married,18 thru 24,grade 8 or less,sales worker,more than ten years,not married,three,two,live with parents/family,house,black,spanish,<=25K
female,widowed,65 and over,1 to 3 years of college,retired,more than ten years,not married,six,none,own,house,white,spanish,<=25K
male,single or never married,14 thru 17,grad study,unemployed,seven to ten years,no,nine or more,two,live with parents/family,other,american indian,spanish,<=25K
male,single or never married,14 thru 17,grad study,sales worker,seven to ten years,no,nine or more,three,live with parents/family,other,asian,other,<=25K
male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,five,three,rent,house,asian,english,>25K
male,divorced or separated,18 thru 24,grad study,factory worker/laborer/driver,seven to ten years,yes,five,three,rent,apartment,asian,english,<=25K
male,married,25 thru 34,graduated high school,professional/managerial,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,>25K
male,living together or not married,18 thru 24,grades 9 to 11,unemployed,four to six years,yes,nine or more,three,own,mobile home,asian,other,<=25K
female,widowed,18 thru 24,graduated high school,student or hs or college,four to six years,no,seven,none,live with parents/family,apartment,white,spanish,<=25K
female,divorced or separated,25 thru 34,grades 9 to 11,factory worker/laborer/driver,four to six years,not married,two,none,own,mobile home,american indian,english,<=25K
female,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,two,none,rent,other,white,english,>25K
female,widowed,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,yes,four,one,live with parents/family,house,white,english,<=25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,one,own,house,white,english,>25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,two,own,house,hispanic,english,>25K
female,single or never married,45 thru 54,grade 8 or less,professional/managerial,more than ten years,no,two,none,rent,apartment,white,spanish,<=25K
female,single or never married,55 thru 64,grad study,professional/managerial,more than ten years,not married,one,none,own,condominium,white,english,>25K
female,married,25 thru 34,graduated high school,homemaker,one to three years,no,four,two,own,house,white,english,>25K
male,living together or not married,35 thru 44,graduated high school,clerical/service worker,more than ten years,no,eight,none,live with parents/family,mobile home,white,spanish,<=25K
male,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,four,one,own,house,white,english,>25K
male,living together or not married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,no,six,none,live with parents/family,other,pacific islander,spanish,<=25K
male,living together or not married,45 thru 54,graduated high school,professional/managerial,more than ten years,no,two,none,own,mobile home,asian,other,<=25K
male,single or never married,55 thru 64,graduated high school,student or hs or college,one to three years,not married,seven,four,live with parents/family,house,white,spanish,<=25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,mobile home,white,english,>25K
male,living together or not married,45 thru 54,college graduate,sales worker,more than ten years,yes,two,three,rent,mobile home,white,english,<=25K
male,single or never married,18 thru 24,grad study,professional/managerial,one to three years,not married,one,one,rent,apartment,white,english,>25K
male,married,25 thru 34,college graduate,retired,four to six years,not married,nine or more,five,rent,apartment,east indian,other,<=25K
female,married,25 thru 34,grades 9 to 11,homemaker,seven to ten years,no,three,one,own,house,hispanic,spanish,>25K
male,living together or not married,25 thru 34,grad study,unemployed,less than one year,yes,nine or more,none,own,condominium,american indian,other,>25K
