Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
male,married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,six,none,own,house,white,english,>25K
female,single or never married,18 thru 24,grad study,professional/managerial,one to three years,not married,three,none,own,condominium,white,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,clerical/service worker,one to three years,not married,one,none,own,house,white,english,>25K
female,single or never married,45 thru 54,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,two,two,live with parents/family,apartment,white,english,<=25K
female,single or never married,18 thru 24,grad study,student or hs or college,one to three years,not married,four,none,live with parents/family,house,white,english,>25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,two,rent,apartment,asian,english,>25K
female,married,35 thru 44,grad study,professional/managerial,one to three years,not married,one,none,own,apartment,white,english,>25K
female,married,25 thru 34,grad study,homemaker,more than ten years,not married,three,none,rent,house,white,english,>25K
female,married,35 thru 44,grad study,homemaker,more than ten years,not married,four,none,own,house,other,english,>25K
female,single or never married,25 thru 34,grades 9 to 11,unemployed,one to three years,not married,three,none,own,apartment,white,english,>25K
female,divorced or separated,35 thru 44,grad study,professional/managerial,more than ten years,not married,three,none,own,house,white,english,<=25K
female,single or never married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,not married,four,one,rent,house,white,english,<=25K
female,married,45 thru 54,1 to 3 years of college,clerical/service worker,one to three years,not married,one,none,own,house,white,english,>25K
male,married,18 thru 24,college graduate,professional/managerial,four to six years,not married,one,one,rent,house,white,english,>25K
male,single or never married,25 thru 34,college graduate,clerical/service worker,more than ten years,not married,three,one,rent,condominium,white,english,<=25K
female,single or never married,25 thru 34,college graduate,clerical/service worker,one to three years,not married,three,two,rent,house,white,english,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,rent,house,white,english,>25K
male,married,18 thru 24,college graduate,professional/managerial,one to three years,not married,four,one,rent,condominium,white,english,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,two,none,rent,house,white,english,>25K
female,married,45 thru 54,college graduate,student or hs or college,more than ten years,not married,one,none,own,house,white,english,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,one,none,rent,house,other,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,unemployed,one to three years,not married,five,two,live with parents/family,house,asian,english,>25K
female,married,18 thru 24,1 to 3 years of college,unemployed,one to three years,not married,four,one,rent,house,hispanic,english,<=25K
male,single or never married,45 thru 54,grad study,professional/managerial,one to three years,not married,five,none,own,house,white,english,>25K
male,married,18 thru 24,college graduate,professional/managerial,seven to ten years,not married,one,none,own,house,black,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,one,two,own,house,white,english,<=25K
female,divorced or separated,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,three,none,own,mobile home,white,english,<=25K
male,married,18 thru 24,college graduate,unemployed,more than ten years,not married,six,one,rent,house,white,english,<=25K
male,married,18 thru 24,1 to 3 years of college,clerical/service worker,one to three years,not married,six,three,rent,house,white,english,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,retired,one to three years,not married,two,none,own,apartment,white,english,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,other,english,>25K
male,single or never married,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,none,own,apartment,white,english,<=25K
female,divorced or separated,18 thru 24,college graduate,clerical/service worker,one to three years,not married,six,none,rent,house,white,english,<=25K
male,married,25 thru 34,1 to 3 years of college,homemaker,one to three years,not married,four,one,own,house,white,english,>25K
female,married,25 thru 34,college graduate,homemaker,one to three years,not married,five,none,own,house,white,english,>25K
female,divorced or separated,25 thru 34,college graduate,professional/managerial,more than ten years,not married,one,none,rent,house,other,english,<=25K
male,married,35 thru 44,grad study,homemaker,one to three years,not married,four,four,live with parents/family,house,white,english,<=25K
female,married,45 thru 54,grad study,unemployed,more than ten years,not married,four,one,own,house,white,english,>25K
female,single or never married,35 thru 44,grad study,homemaker,more than ten years,not married,five,one,live with parents/family,house,other,english,>25K
female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,not married,four,two,own,house,white,english,>25K
female,married,25 thru 34,grad study,sales worker,more than ten years,not married,three,one,rent,house,other,english,<=25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,three,none,own,house,hispanic,english,<=25K
male,single or never married,18 thru 24,grade 8 or less,student or hs or college,seven to ten years,not married,six,one,own,condominium,black,english,<=25K
male,single or never married,25 thru 34,college graduate,student or hs or college,one to three years,not married,three,none,rent,apartment,white,english,<=25K
female,married,25 thru 34,1 to 3 years of college,clerical/service worker,one to three years,not married,four,two,rent,house,white,english,>25K
female,divorced or separated,25 thru 34,grad study,professional/managerial,more than ten years,not married,three,none,own,house,white,english,<=25K
male,single or never married,18 thru 24,grades 9 to 11,unemployed,one to three years,not married,one,three,rent,apartment,other,english,<=25K
female,married,45 thru 54,1 to 3 years of college,homemaker,one to three years,not married,four,none,own,house,white,english,>25K
female,single or never married,25 thru 34,grad study,student or hs or college,more than ten years,not married,one,one,own,house,white,english,<=25K
female,single or never married,25 thru 34,grade 8 or less,student or hs or college,more than ten years,not married,five,none,rent,condominium,other,english,<=25K
male,married,45 thru 54,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
female,single or never married,14 thru 17,college graduate,clerical/service worker,more than ten years,not married,four,two,live with parents/family,house,hispanic,english,<=25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,three,one,live with parents/family,apartment,white,english,<=25K
male,married,18 thru 24,grad study,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,six,none,own,condominium,white,english,>25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,not married,four,two,own,house,white,english,>25K
female,married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,divorced or separated,18 thru 24,1 to 3 years of college,homemaker,more than ten years,not married,three,none,rent,condominium,other,english,>25K
female,divorced or separated,45 thru 54,grad study,professional/managerial,more than ten years,not married,four,none,rent,house,white,english,<=25K
female,married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,one,none,own,house,white,english,>25K
female,divorced or separated,25 thru 34,1 to 3 years of college,unemployed,more than ten years,not married,six,one,rent,house,white,english,<=25K
female,single or never married,14 thru 17,grad study,unemployed,one to three years,not married,five,one,live with parents/family,house,white,english,>25K
male,single or never married,25 thru 34,grad study,student or hs or college,one to three years,not married,five,none,rent,apartment,white,english,>25K
male,single or never married,35 thru 44,grades 9 to 11,retired,more than ten years,not married,four,none,rent,apartment,white,english,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,homemaker,four to six years,not married,three,none,own,house,white,english,>25K
male,divorced or separated,45 thru 54,1 to 3 years of college,homemaker,one to three years,not married,three,two,own,apartment,white,english,>25K
female,divorced or separated,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,two,none,rent,house,black,english,<=25K
female,single or never married,45 thru 54,grad study,professional/managerial,more than ten years,not married,four,one,rent,house,white,english,<=25K
male,married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,four,none,rent,house,white,english,>25K
male,married,18 thru 24,graduated high school,student or hs or college,one to three years,not married,one,none,rent,apartment,white,english,<=25K
female,married,25 thru 34,grad study,homemaker,one to three years,not married,four,two,own,house,white,english,>25K
male,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,two,none,live with parents/family,house,white,english,<=25K
male,single or never married,45 thru 54,college graduate,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
female,married,45 thru 54,grad study,student or hs or college,more than ten years,not married,one,none,own,house,white,english,>25K
male,single or never married,18 thru 24,college graduate,professional/managerial,four to six years,not married,two,none,rent,apartment,white,english,>25K
male,married,25 thru 34,college graduate,student or hs or college,one to three years,not married,one,one,own,condominium,white,english,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,own,house,white,english,>25K
female,single or never married,18 thru 24,grade 8 or less,professional/managerial,one to three years,not married,five,none,rent,house,white,english,<=25K
male,married,35 thru 44,grad study,professional/managerial,one to three years,not married,four,two,own,house,white,english,>25K
male,married,45 thru 54,1 to 3 years of college,clerical/service worker,one to three years,not married,five,none,own,house,white,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,six,none,live with parents/family,condominium,white,english,>25K
male,divorced or separated,35 thru 44,college graduate,professional/managerial,more than ten years,not married,two,none,rent,apartment,other,english,>25K
female,divorced or separated,18 thru 24,grad study,professional/managerial,more than ten years,not married,four,none,rent,house,white,english,>25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,five,none,rent,apartment,white,english,<=25K
male,divorced or separated,25 thru 34,grad study,unemployed,one to three years,not married,four,none,rent,condominium,white,english,<=25K
female,divorced or separated,14 thru 17,grade 8 or less,student or hs or college,one to three years,not married,three,one,rent,house,hispanic,english,<=25K
female,married,45 thru 54,grad study,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,married,18 thru 24,grade 8 or less,student or hs or college,one to three years,not married,five,none,live with parents/family,house,asian,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,five,one,live with parents/family,house,black,english,<=25K
male,single or never married,25 thru 34,grad study,unemployed,more than ten years,not married,one,one,own,apartment,white,english,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,not married,four,two,own,house,white,english,>25K
female,married,25 thru 34,1 to 3 years of college,homemaker,one to three years,not married,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,unemployed,more than ten years,not married,four,none,own,apartment,black,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,five,one,own,apartment,white,english,<=25K
male,divorced or separated,25 thru 34,grad study,unemployed,more than ten years,not married,five,none,own,apartment,white,english,>25K
female,married,25 thru 34,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english,>25K
female,married,35 thru 44,grad study,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,one,own,condominium,white,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,six,none,live with parents/family,house,white,english,>25K
male,married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,not married,one,one,own,house,white,english,>25K
female,married,18 thru 24,grades 9 to 11,unemployed,one to three years,not married,two,two,live with parents/family,house,black,english,<=25K
male,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
female,married,18 thru 24,grade 8 or less,unemployed,one to three years,not married,one,none,rent,house,white,english,<=25K
male,married,14 thru 17,college graduate,student or hs or college,more than ten years,not married,six,two,rent,condominium,white,english,<=25K
female,single or never married,18 thru 24,graduated high school,homemaker,more than ten years,not married,four,none,live with parents/family,apartment,white,english,<=25K
female,divorced or separated,18 thru 24,1 to 3 years of college,unemployed,one to three years,not married,five,none,rent,condominium,white,english,>25K
female,married,45 thru 54,grad study,homemaker,more than ten years,not married,one,none,own,house,white,english,>25K
female,married,45 thru 54,college graduate,homemaker,more than ten years,not married,one,none,own,house,white,english,>25K
female,married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,three,two,own,house,white,english,<=25K
female,single or never married,14 thru 17,grade 8 or less,clerical/service worker,one to three years,not married,four,two,live with parents/family,house,white,english,>25K
female,single or never married,25 thru 34,grad study,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,married,18 thru 24,grad study,unemployed,more than ten years,not married,six,none,own,house,white,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,unemployed,more than ten years,not married,one,none,rent,house,black,english,<=25K
female,married,25 thru 34,grad study,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
male,married,35 thru 44,college graduate,professional/managerial,one to three years,not married,three,one,rent,apartment,other,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,two,none,rent,apartment,black,english,<=25K
male,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,three,none,live with parents/family,house,white,english,<=25K
female,divorced or separated,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,three,none,own,apartment,white,english,<=25K
female,married,18 thru 24,1 to 3 years of college,homemaker,one to three years,not married,one,none,own,house,white,english,>25K
male,married,14 thru 17,grad study,clerical/service worker,more than ten years,not married,six,two,own,house,white,english,>25K
male,divorced or separated,18 thru 24,college graduate,professional/managerial,more than ten years,not married,two,two,rent,condominium,white,english,<=25K
male,single or never married,14 thru 17,grad study,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english,<=25K
female,single or never married,35 thru 44,college graduate,professional/managerial,one to three years,not married,four,one,live with parents/family,house,white,english,>25K
female,married,35 thru 44,college graduate,professional/managerial,seven to ten years,not married,five,none,own,house,white,english,>25K
female,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,one,none,rent,house,other,english,>25K
male,divorced or separated,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,four,two,live with parents/family,house,white,english,>25K
female,married,45 thru 54,1 to 3 years of college,student or hs or college,one to three years,not married,one,none,own,house,white,english,>25K
male,married,35 thru 44,grad study,homemaker,more than ten years,not married,five,none,own,house,white,english,>25K
female,single or never married,35 thru 44,grades 9 to 11,clerical/service worker,one to three years,not married,two,none,rent,apartment,white,english,>25K
male,divorced or separated,25 thru 34,college graduate,homemaker,more than ten years,not married,four,none,own,condominium,white,english,>25K
male,married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,four,none,live with parents/family,house,black,english,<=25K
female,married,18 thru 24,grad study,homemaker,more than ten years,not married,one,none,own,apartment,white,english,>25K
male,single or never married,14 thru 17,grades 9 to 11,clerical/service worker,more than ten years,not married,one,none,live with parents/family,condominium,white,english,>25K
male,single or never married,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,three,none,own,apartment,white,english,<=25K
female,single or never married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
female,married,18 thru 24,grades 9 to 11,unemployed,more than ten years,not married,two,four,live with parents/family,apartment,white,english,>25K
female,married,25 thru 34,grades 9 to 11,unemployed,one to three years,not married,five,one,rent,apartment,pacific islander,english,<=25K
female,divorced or separated,18 thru 24,grade 8 or less,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english,<=25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,six,none,own,house,white,english,>25K
female,married,45 thru 54,grad study,professional/managerial,more than ten years,not married,six,none,live with parents/family,condominium,white,english,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,two,rent,house,white,english,<=25K
male,single or never married,35 thru 44,grad study,homemaker,more than ten years,not married,two,none,own,house,black,english,>25K
female,single or never married,14 thru 17,grad study,student or hs or college,more than ten years,not married,five,none,live with parents/family,house,black,english,>25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,six,none,own,house,white,english,>25K
female,married,25 thru 34,1 to 3 years of college,unemployed,more than ten years,not married,five,none,rent,apartment,black,english,<=25K
male,divorced or separated,25 thru 34,college graduate,student or hs or college,seven to ten years,not married,four,two,live with parents/family,apartment,white,english,<=25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,six,none,own,house,white,english,>25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,not married,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,four,one,live with parents/family,house,white,english,<=25K
male,divorced or separated,18 thru 24,grade 8 or less,student or hs or college,more than ten years,not married,four,none,own,condominium,white,english,<=25K
female,divorced or separated,25 thru 34,college graduate,professional/managerial,one to three years,not married,two,none,own,apartment,white,english,>25K
female,single or never married,35 thru 44,grade 8 or less,student or hs or college,more than ten years,not married,two,one,live with parents/family,house,black,english,<=25K
male,single or never married,45 thru 54,grades 9 to 11,unemployed,more than ten years,not married,two,nine or more,own,house,white,english,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,five,none,live with parents/family,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,one to three years,not married,five,none,rent,house,black,english,>25K
male,divorced or separated,14 thru 17,grade 8 or less,unemployed,one to three years,not married,two,one,rent,house,white,english,<=25K
female,single or never married,18 thru 24,grade 8 or less,student or hs or college,one to three years,not married,one,none,rent,house,white,english,<=25K
male,single or never married,18 thru 24,grade 8 or less,student or hs or college,more than ten years,not married,four,none,rent,house,white,english,<=25K
female,married,25 thru 34,grades 9 to 11,homemaker,one to three years,not married,five,none,rent,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,more than ten years,not married,six,one,live with parents/family,house,hispanic,english,<=25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,two,none,own,house,white,english,<=25K
female,divorced or separated,18 thru 24,grad study,unemployed,one to three years,not married,six,one,rent,apartment,white,english,<=25K
male,divorced or separated,35 thru 44,college graduate,student or hs or college,one to three years,not married,one,two,rent,apartment,white,english,>25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,four,none,own,house,white,english,<=25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,four,none,rent,house,other,english,<=25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,four,none,live with parents/family,house,white,english,<=25K
male,divorced or separated,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english,>25K
female,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,four,two,live with parents/family,house,white,english,<=25K
male,single or never married,18 thru 24,college graduate,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english,<=25K
male,married,35 thru 44,1 to 3 years of college,homemaker,one to three years,not married,six,none,own,house,white,english,>25K
female,single or never married,18 thru 24,college graduate,student or hs or college,more than ten years,not married,two,two,rent,house,white,english,>25K
male,married,18 thru 24,grade 8 or less,student or hs or college,seven to ten years,not married,one,two,live with parents/family,house,black,english,<=25K
female,divorced or separated,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,four,none,own,house,white,english,<=25K
male,single or never married,14 thru 17,grad study,unemployed,more than ten years,not married,four,two,live with parents/family,house,white,english,<=25K
male,single or never married,14 thru 17,grad study,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,hispanic,english,<=25K
male,married,25 thru 34,1 to 3 years of college,homemaker,one to three years,not married,five,none,rent,house,black,english,>25K
male,divorced or separated,18 thru 24,grad study,student or hs or college,one to three years,not married,five,one,rent,apartment,hispanic,english,<=25K
male,married,25 thru 34,grad study,professional/managerial,more than ten years,not married,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,four to six years,not married,two,none,rent,apartment,white,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,unemployed,seven to ten years,not married,three,none,rent,apartment,white,english,<=25K
female,divorced or separated,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,apartment,white,english,<=25K
female,divorced or separated,25 thru 34,grades 9 to 11,homemaker,more than ten years,not married,one,none,own,mobile home,white,english,<=25K
female,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,one,none,rent,house,white,english,>25K
female,divorced or separated,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,four,one,live with parents/family,house,white,english,<=25K
female,married,35 thru 44,grad study,professional/managerial,one to three years,not married,one,one,own,house,white,english,>25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,not married,four,two,own,house,white,english,>25K
female,single or never married,45 thru 54,grade 8 or less,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,<=25K
female,single or never married,18 thru 24,grad study,professional/managerial,one to three years,not married,five,none,own,condominium,white,english,>25K
female,married,25 thru 34,grad study,homemaker,more than ten years,not married,four,two,own,house,white,english,>25K
male,married,35 thru 44,grad study,clerical/service worker,more than ten years,not married,two,none,live with parents/family,house,white,english,<=25K
male,married,45 thru 54,grad study,professional/managerial,one to three years,not married,four,one,own,house,white,english,>25K
male,married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english,<=25K
male,single or never married,45 thru 54,grad study,professional/managerial,seven to ten years,not married,one,none,own,apartment,white,english,<=25K
male,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,three,one,live with parents/family,house,white,english,<=25K
male,married,35 thru 44,grad study,professional/managerial,one to three years,not married,one,none,own,house,white,english,>25K
female,married,18 thru 24,grad study,retired,more than ten years,not married,six,none,own,apartment,white,english,>25K
male,married,45 thru 54,college graduate,military,one to three years,not married,one,one,rent,apartment,white,english,<=25K
male,single or never married,18 thru 24,grad study,professional/managerial,four to six years,not married,two,one,rent,apartment,white,english,>25K
male,married,25 thru 34,college graduate,military,more than ten years,not married,two,none,rent,apartment,white,spanish,<=25K
female,married,25 thru 34,grades 9 to 11,homemaker,one to three years,not married,one,one,own,house,white,english,>25K
male,single or never married,25 thru 34,grad study,unemployed,one to three years,not married,three,none,own,condominium,white,english,>25K
male,single or never married,18 thru 24,grad study,clerical/service worker,one to three years,not married,one,four,rent,condominium,white,english,<=25K
female,married,18 thru 24,college graduate,homemaker,more than ten years,not married,one,none,own,house,white,english,>25K
female,married,25 thru 34,1 to 3 years of college,student or hs or college,more than ten years,not married,one,one,rent,condominium,white,english,>25K
female,married,35 thru 44,1 to 3 years of college,clerical/service worker,one to three years,not married,one,none,own,house,white,english,>25K
female,divorced or separated,18 thru 24,grad study,homemaker,one to three years,not married,one,none,rent,house,white,english,>25K
male,married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,two,two,rent,apartment,white,english,<=25K
female,married,45 thru 54,grad study,clerical/service worker,more than ten years,not married,three,none,rent,apartment,white,english,<=25K
male,married,18 thru 24,1 to 3 years of college,homemaker,one to three years,not married,six,none,own,house,white,english,>25K
male,single or never married,18 thru 24,graduated high school,retired,one to three years,not married,one,none,own,condominium,white,english,<=25K
