Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,<nil>,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,six,none,own,house,<nil>,english,<=25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,four,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,<nil>,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,<nil>,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,unemployed,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,grad study,professional/managerial,<nil>,yes,eight,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,<nil>,yes,three,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,military,one to three years,not married,<nil>,none,rent,<nil>,pacific islander,<nil>,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,<nil>,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,<nil>,<nil>,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,<nil>,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,<nil>,one,none,<nil>,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,seven,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,<nil>,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,six,none,<nil>,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grad study,<nil>,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,<nil>,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,<nil>,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,<nil>,three,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,college graduate,retired,more than ten years,yes,<nil>,none,own,<nil>,white,english,<=25K
male,married,<nil>,grad study,professional/managerial,<nil>,<nil>,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,four,none,<nil>,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,<nil>,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,four,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,unemployed,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,four,<nil>,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,<nil>,more than ten years,yes,<nil>,<nil>,own,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,two,none,live with parents/family,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,factory worker/laborer/driver,<nil>,yes,one,none,live with parents/family,house,white,<nil>,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,<nil>,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,<nil>,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,nine or more,<nil>,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,eight,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,student or hs or college,more than ten years,yes,one,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,<nil>,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,<nil>,house,white,english,>25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,grad study,<nil>,more than ten years,yes,two,<nil>,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,five,none,own,house,white,english,<=25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,<nil>,more than ten years,yes,<nil>,none,<nil>,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,student or hs or college,more than ten years,yes,five,<nil>,live with parents/family,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,<nil>,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,student or hs or college,more than ten years,yes,<nil>,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,unemployed,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,<nil>,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,<nil>,house,<nil>,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grad study,student or hs or college,more than ten years,yes,two,none,live with parents/family,apartment,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,five,none,own,house,<nil>,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,six,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,<nil>,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,five,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,<nil>,own,<nil>,white,english,>25K
male,married,<nil>,grades 9 to 11,sales worker,more than ten years,yes,one,none,live with parents/family,condominium,asian,other,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,sales worker,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,six,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,grade 8 or less,student or hs or college,more than ten years,yes,<nil>,none,live with parents/family,house,east indian,<nil>,<=25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,student or hs or college,more than ten years,yes,nine or more,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,divorced or separated,<nil>,grade 8 or less,unemployed,more than ten years,yes,five,none,rent,apartment,white,english,<=25K
male,married,<nil>,grade 8 or less,<nil>,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,student or hs or college,seven to ten years,yes,two,none,own,condominium,asian,other,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,sales worker,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,three,none,own,house,<nil>,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,six,none,own,house,<nil>,english,<=25K
male,married,<nil>,grad study,unemployed,one to three years,yes,two,none,live with parents/family,house,white,other,<=25K
male,married,<nil>,grad study,sales worker,<nil>,not married,two,none,live with parents/family,<nil>,asian,other,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,<nil>,one,none,<nil>,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,<nil>,<nil>,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,<nil>,white,english,<=25K
female,married,<nil>,graduated high school,student or hs or college,<nil>,yes,two,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,<nil>,<nil>,live with parents/family,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,<nil>,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,eight,none,own,house,white,english,<=25K
female,married,<nil>,grad study,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,seven,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grad study,professional/managerial,<nil>,yes,one,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,<nil>,two,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,eight,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,<nil>,own,house,white,english,>25K
female,married,<nil>,graduated high school,sales worker,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,seven,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,<nil>,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,two,none,own,house,<nil>,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,unemployed,<nil>,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,two,none,own,house,white,english,>25K
female,married,<nil>,grad study,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
