Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
female,living together or not married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,yes,two,none,rent,house,white,english,>25K
male,single or never married,18 thru 24,college graduate,factory worker/laborer/driver,less than one year,not married,one,none,rent,other,white,english,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,seven to ten years,not married,three,none,own,house,hispanic,spanish,>25K
male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english,>25K
male,single or never married,25 thru 34,grad study,professional/managerial,one to three years,not married,one,none,rent,house,white,english,>25K
female,married,45 thru 54,college graduate,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,three,none,rent,house,other,english,>25K
female,single or never married,18 thru 24,college graduate,unemployed,more than ten years,not married,five,two,live with parents/family,house,white,english,>25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,four,seven,live with parents/family,house,white,english,<=25K
male,single or never married,45 thru 54,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english,>25K
male,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,black,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,clerical/service worker,more than ten years,not married,three,none,live with parents/family,house,white,english,<=25K
male,single or never married,14 thru 17,grade 8 or less,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english,<=25K
male,married,18 thru 24,college graduate,military,less than one year,no,two,one,rent,other,white,english,<=25K
female,living together or not married,25 thru 34,graduated high school,clerical/service worker,more than ten years,not married,five,three,rent,house,hispanic,english,<=25K
male,living together or not married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,two,none,rent,other,white,english,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,three,none,rent,apartment,asian,english,>25K
male,single or never married,35 thru 44,college graduate,factory worker/laborer/driver,seven to ten years,not married,one,none,rent,apartment,white,english,<=25K
female,married,18 thru 24,college graduate,clerical/service worker,one to three years,yes,two,none,rent,apartment,white,english,<=25K
male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,four,one,own,house,white,english,>25K
female,married,25 thru 34,college graduate,homemaker,more than ten years,no,five,three,own,house,white,english,>25K
female,divorced or separated,25 thru 34,graduated high school,sales worker,one to three years,not married,two,one,rent,apartment,white,english,<=25K
male,single or never married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,five,two,rent,house,white,english,<=25K
female,married,45 thru 54,graduated high school,factory worker/laborer/driver,one to three years,yes,four,one,own,house,white,english,>25K
female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,five,five,live with parents/family,house,pacific islander,english,>25K
female,married,45 thru 54,1 to 3 years of college,homemaker,seven to ten years,no,four,two,own,house,white,english,>25K
female,married,25 thru 34,graduated high school,sales worker,seven to ten years,yes,two,none,rent,house,white,english,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,condominium,hispanic,spanish,<=25K
male,single or never married,14 thru 17,grade 8 or less,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english,<=25K
male,single or never married,25 thru 34,grad study,student or hs or college,less than one year,not married,one,none,rent,apartment,american indian,english,<=25K
female,married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,yes,four,two,rent,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,unemployed,seven to ten years,not married,three,none,own,house,white,english,<=25K
male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,eight,three,live with parents/family,house,hispanic,spanish,<=25K
female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,four,none,own,house,white,english,>25K
male,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,four,none,rent,apartment,white,english,<=25K
female,married,25 thru 34,1 to 3 years of college,student or hs or college,four to six years,yes,five,three,rent,apartment,black,english,<=25K
male,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,asian,english,<=25K
male,single or never married,18 thru 24,college graduate,sales worker,more than ten years,not married,three,none,live with parents/family,mobile home,white,english,<=25K
male,married,55 thru 64,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,65 and over,1 to 3 years of college,retired,one to three years,no,two,none,own,condominium,white,english,>25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,no,four,two,own,house,white,english,>25K
female,married,65 and over,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,one to three years,not married,one,none,rent,apartment,other,english,>25K
male,divorced or separated,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,seven to ten years,not married,one,none,rent,apartment,hispanic,spanish,<=25K
female,married,65 and over,college graduate,professional/managerial,seven to ten years,no,two,none,own,house,white,english,>25K
male,living together or not married,25 thru 34,1 to 3 years of college,military,one to three years,no,two,none,rent,apartment,white,english,<=25K
female,single or never married,14 thru 17,graduated high school,unemployed,more than ten years,not married,five,one,live with parents/family,house,white,english,>25K
female,single or never married,25 thru 34,college graduate,factory worker/laborer/driver,more than ten years,not married,one,none,rent,apartment,white,english,>25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,two,live with parents/family,house,white,english,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,seven to ten years,not married,three,none,live with parents/family,house,white,english,>25K
male,divorced or separated,45 thru 54,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,one,none,rent,house,black,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english,<=25K
male,single or never married,18 thru 24,graduated high school,sales worker,more than ten years,not married,one,none,rent,apartment,white,english,<=25K
male,single or never married,65 and over,college graduate,retired,more than ten years,not married,one,none,rent,house,black,english,>25K
female,single or never married,18 thru 24,graduated high school,student or hs or college,seven to ten years,not married,four,none,rent,apartment,white,spanish,<=25K
female,married,25 thru 34,graduated high school,homemaker,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english,<=25K
male,living together or not married,45 thru 54,college graduate,professional/managerial,more than ten years,not married,two,none,own,house,white,english,>25K
female,married,45 thru 54,grad study,retired,seven to ten years,no,two,none,own,house,white,english,>25K
male,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,>25K
female,divorced or separated,25 thru 34,graduated high school,clerical/service worker,four to six years,not married,two,one,rent,apartment,hispanic,spanish,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,four to six years,yes,two,none,own,house,white,english,>25K
female,single or never married,18 thru 24,graduated high school,sales worker,one to three years,not married,four,none,rent,house,white,english,<=25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english,>25K
male,married,45 thru 54,1 to 3 years of college,clerical/service worker,more than ten years,yes,five,none,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,asian,english,>25K
male,divorced or separated,35 thru 44,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,other,english,>25K
female,divorced or separated,55 thru 64,grad study,professional/managerial,four to six years,not married,one,none,rent,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,unemployed,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
female,divorced or separated,25 thru 34,1 to 3 years of college,homemaker,more than ten years,not married,six,two,rent,condominium,white,english,<=25K
male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,four to six years,not married,five,three,live with parents/family,house,black,english,<=25K
female,married,45 thru 54,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,one,none,rent,apartment,black,english,>25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,one to three years,not married,six,one,live with parents/family,house,asian,english,<=25K
male,single or never married,18 thru 24,graduated high school,factory worker/laborer/driver,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,two,own,house,white,english,>25K
female,married,25 thru 34,1 to 3 years of college,homemaker,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,one to three years,not married,seven,none,own,house,black,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,less than one year,not married,five,three,rent,house,white,english,<=25K
male,divorced or separated,25 thru 34,graduated high school,factory worker/laborer/driver,seven to ten years,not married,one,none,rent,apartment,white,english,>25K
female,married,25 thru 34,grad study,professional/managerial,four to six years,yes,two,none,own,house,white,english,>25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,35 thru 44,grad study,professional/managerial,four to six years,yes,three,one,own,condominium,white,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,live with parents/family,house,white,english,>25K
male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,no,three,one,own,house,white,english,>25K
female,living together or not married,35 thru 44,1 to 3 years of college,sales worker,seven to ten years,not married,four,one,own,house,black,english,<=25K
male,single or never married,25 thru 34,grades 9 to 11,military,one to three years,not married,one,none,rent,apartment,black,english,<=25K
male,single or never married,55 thru 64,1 to 3 years of college,retired,more than ten years,not married,two,none,live with parents/family,house,white,english,<=25K
female,living together or not married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,rent,house,american indian,english,<=25K
male,single or never married,18 thru 24,graduated high school,military,more than ten years,not married,four,none,live with parents/family,apartment,hispanic,english,<=25K
female,single or never married,18 thru 24,graduated high school,student or hs or college,seven to ten years,not married,four,none,live with parents/family,house,white,english,>25K
female,married,45 thru 54,graduated high school,homemaker,more than ten years,no,two,none,own,house,white,english,>25K
female,married,45 thru 54,college graduate,homemaker,four to six years,no,two,none,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,four,none,live with parents/family,house,white,english,<=25K
male,single or never married,14 thru 17,grades 9 to 11,clerical/service worker,more than ten years,not married,four,two,live with parents/family,house,white,english,>25K
female,living together or not married,25 thru 34,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,military,less than one year,not married,one,none,own,house,black,spanish,<=25K
female,married,25 thru 34,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,35 thru 44,college graduate,professional/managerial,more than ten years,no,seven,one,rent,apartment,asian,english,>25K
female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,asian,english,<=25K
female,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,<=25K
male,widowed,55 thru 64,1 to 3 years of college,retired,seven to ten years,not married,one,none,own,house,white,english,<=25K
female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,three,none,own,house,white,english,>25K
female,married,18 thru 24,graduated high school,homemaker,four to six years,no,four,two,rent,house,white,english,>25K
female,widowed,35 thru 44,grad study,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english,<=25K
female,single or never married,18 thru 24,graduated high school,sales worker,one to three years,not married,four,none,rent,apartment,white,english,<=25K
female,single or never married,35 thru 44,college graduate,professional/managerial,more than ten years,not married,four,one,live with parents/family,house,white,english,>25K
female,married,35 thru 44,college graduate,professional/managerial,four to six years,yes,five,three,own,house,white,english,>25K
female,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,three,none,rent,house,asian,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english,>25K
female,married,45 thru 54,1 to 3 years of college,sales worker,more than ten years,no,two,none,own,house,white,english,>25K
male,married,35 thru 44,graduated high school,factory worker/laborer/driver,four to six years,yes,five,three,own,house,hispanic,spanish,>25K
male,single or never married,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,rent,apartment,white,english,>25K
female,single or never married,25 thru 34,college graduate,sales worker,one to three years,not married,one,none,rent,other,white,english,>25K
female,single or never married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,three,none,live with parents/family,house,white,english,<=25K
female,married,55 thru 64,graduated high school,homemaker,more than ten years,no,two,none,own,mobile home,white,english,>25K
female,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,five,three,live with parents/family,house,asian,english,>25K
female,widowed,65 and over,college graduate,clerical/service worker,more than ten years,not married,one,none,own,condominium,white,english,<=25K
female,living together or not married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,divorced or separated,35 thru 44,grad study,factory worker/laborer/driver,more than ten years,not married,four,one,rent,apartment,american indian,english,>25K
female,married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,yes,two,none,rent,apartment,pacific islander,english,<=25K
female,single or never married,18 thru 24,graduated high school,sales worker,more than ten years,not married,three,none,own,house,white,english,<=25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,living together or not married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,less than one year,not married,four,three,live with parents/family,other,white,english,<=25K
male,divorced or separated,35 thru 44,graduated high school,homemaker,more than ten years,not married,one,none,rent,apartment,black,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,four,none,live with parents/family,house,black,english,>25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,living together or not married,18 thru 24,graduated high school,professional/managerial,four to six years,not married,four,none,rent,apartment,hispanic,english,<=25K
male,single or never married,25 thru 34,graduated high school,sales worker,more than ten years,not married,one,none,rent,apartment,white,english,<=25K
male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,no,four,two,own,house,white,english,>25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,three,one,live with parents/family,house,white,english,<=25K
male,living together or not married,18 thru 24,1 to 3 years of college,unemployed,one to three years,not married,two,none,rent,apartment,white,english,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,seven to ten years,not married,one,none,rent,apartment,hispanic,spanish,>25K
male,single or never married,18 thru 24,graduated high school,student or hs or college,one to three years,not married,three,none,live with parents/family,house,hispanic,english,<=25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,seven to ten years,not married,three,one,live with parents/family,house,asian,english,<=25K
female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,one,none,live with parents/family,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,house,black,english,>25K
male,married,45 thru 54,1 to 3 years of college,unemployed,more than ten years,no,three,one,own,house,white,english,<=25K
male,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english,<=25K
female,married,25 thru 34,grades 9 to 11,homemaker,more than ten years,yes,five,three,rent,house,white,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,one to three years,not married,one,none,rent,house,other,english,<=25K
male,single or never married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,three,three,live with parents/family,house,hispanic,spanish,<=25K
male,divorced or separated,65 and over,college graduate,retired,more than ten years,not married,one,none,rent,mobile home,white,english,<=25K
male,divorced or separated,35 thru 44,college graduate,sales worker,more than ten years,not married,three,two,rent,apartment,white,english,>25K
male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,live with parents/family,house,white,english,<=25K
male,single or never married,18 thru 24,graduated high school,military,more than ten years,not married,six,two,live with parents/family,house,white,english,<=25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english,<=25K
female,single or never married,18 thru 24,graduated high school,student or hs or college,less than one year,not married,four,none,live with parents/family,house,white,english,>25K
male,living together or not married,18 thru 24,grades 9 to 11,professional/managerial,more than ten years,not married,four,one,live with parents/family,house,white,english,<=25K
male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,three,one,rent,apartment,hispanic,spanish,<=25K
male,married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,two,none,own,house,hispanic,spanish,>25K
male,single or never married,18 thru 24,college graduate,sales worker,more than ten years,not married,three,none,rent,other,white,english,>25K
female,single or never married,18 thru 24,graduated high school,sales worker,more than ten years,not married,five,two,live with parents/family,house,asian,english,<=25K
female,widowed,65 and over,1 to 3 years of college,retired,more than ten years,not married,one,none,own,house,white,english,<=25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english,<=25K
female,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,two,one,rent,apartment,hispanic,english,<=25K
male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,five,three,rent,house,asian,english,>25K
male,living together or not married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,two,none,rent,apartment,black,english,<=25K
male,married,25 thru 34,graduated high school,professional/managerial,more than ten years,no,four,two,own,house,white,english,>25K
male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,unemployed,seven to ten years,not married,three,none,rent,apartment,white,english,<=25K
male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,black,english,<=25K
female,divorced or separated,25 thru 34,1 to 3 years of college,professional/managerial,four to six years,not married,four,three,rent,house,black,english,<=25K
female,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,two,none,rent,other,white,english,>25K
female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,hispanic,english,<=25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,one,own,house,white,english,>25K
female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,two,own,house,hispanic,english,>25K
female,single or never married,18 thru 24,college graduate,unemployed,less than one year,not married,four,none,rent,apartment,white,english,<=25K
female,single or never married,55 thru 64,grad study,professional/managerial,more than ten years,not married,one,none,own,condominium,white,english,>25K
female,married,25 thru 34,graduated high school,homemaker,one to three years,no,four,two,own,house,white,english,>25K
female,living together or not married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
male,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,four,one,own,house,white,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,seven to ten years,not married,two,none,rent,apartment,pacific islander,english,<=25K
male,living together or not married,25 thru 34,graduated high school,professional/managerial,more than ten years,not married,two,none,own,house,white,english,<=25K
female,single or never married,18 thru 24,graduated high school,unemployed,seven to ten years,not married,eight,none,live with parents/family,house,hispanic,spanish,<=25K
male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,mobile home,white,english,>25K
male,single or never married,25 thru 34,college graduate,sales worker,more than ten years,not married,two,none,rent,apartment,white,english,<=25K
male,single or never married,18 thru 24,grad study,professional/managerial,one to three years,not married,one,one,rent,apartment,white,english,>25K
female,single or never married,25 thru 34,college graduate,professional/managerial,four to six years,not married,two,none,rent,apartment,white,english,<=25K
female,married,25 thru 34,grades 9 to 11,homemaker,seven to ten years,no,three,one,own,house,hispanic,spanish,>25K
male,divorced or separated,25 thru 34,college graduate,unemployed,one to three years,not married,three,none,rent,house,white,english,>25K
female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,own,house,white,english,<=25K
female,married,65 and over,college graduate,homemaker,more than ten years,no,two,none,own,house,white,english,>25K
