cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
<nil>,f,g,<nil>,f,f,c,b,b,e,<nil>,k,w,w,p,w,o,l,h,v,g,p
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,<nil>,e
b,f,g,<nil>,f,f,c,b,<nil>,e,k,<nil>,w,n,p,w,o,l,h,v,<nil>,p
<nil>,y,n,t,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,<nil>,<nil>,p
k,y,n,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,y,<nil>,t,n,<nil>,c,b,b,e,s,s,b,w,p,w,o,p,n,<nil>,p,e
<nil>,y,w,<nil>,c,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,g,p
b,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,<nil>,v,<nil>,p
f,f,y,f,<nil>,a,c,n,<nil>,e,s,s,w,w,p,w,o,p,o,v,u,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,<nil>,o,l,h,v,d,p
<nil>,y,n,f,y,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
k,y,b,f,n,<nil>,c,b,<nil>,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
b,y,w,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
f,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,f,w,<nil>,n,f,w,n,b,e,s,s,e,o,p,w,o,p,r,v,d,e
f,y,<nil>,f,n,f,w,n,<nil>,t,s,s,c,w,p,w,o,e,w,c,g,e
<nil>,s,p,f,<nil>,a,c,n,b,e,s,s,w,w,p,w,o,p,<nil>,v,d,e
x,y,u,f,n,f,c,n,p,t,s,s,w,w,p,w,o,e,w,<nil>,d,e
k,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,<nil>,e
<nil>,y,n,<nil>,f,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,f,w,t,n,f,c,b,b,e,<nil>,s,g,p,p,<nil>,o,p,k,<nil>,w,e
<nil>,y,u,t,<nil>,f,c,b,b,e,s,s,w,<nil>,p,w,o,p,k,v,<nil>,e
b,y,u,f,n,f,c,b,b,e,k,k,w,w,p,<nil>,o,l,h,v,d,e
b,y,g,t,n,a,c,b,b,e,s,s,w,w,p,w,o,p,n,v,g,e
b,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
x,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,d,e
<nil>,y,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
s,y,n,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,p,e
<nil>,s,b,f,n,a,c,n,b,e,s,s,w,w,p,w,o,<nil>,n,v,d,e
<nil>,s,<nil>,<nil>,n,f,c,n,g,t,s,s,y,n,p,w,o,e,w,c,d,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,p,p
<nil>,y,p,f,n,f,c,n,<nil>,t,s,s,w,<nil>,p,w,o,e,w,v,g,p
x,y,e,<nil>,s,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
c,y,e,f,n,f,c,n,<nil>,t,<nil>,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,<nil>,g,f,c,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
k,y,y,f,n,a,c,n,<nil>,t,s,s,w,w,p,w,o,n,u,v,<nil>,e
b,y,e,f,n,f,c,b,<nil>,e,s,k,w,w,p,w,o,p,o,v,g,e
f,y,g,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,m,e
<nil>,y,b,f,n,f,c,b,b,e,s,<nil>,w,w,p,w,o,p,w,v,<nil>,e
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,e
b,y,y,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,<nil>,d,e
b,y,u,f,n,a,c,n,<nil>,e,<nil>,s,w,w,p,w,o,p,n,v,<nil>,e
<nil>,f,e,f,n,a,c,b,b,t,s,y,w,w,p,w,o,p,o,v,<nil>,e
<nil>,y,g,f,n,f,c,n,b,t,s,<nil>,w,<nil>,p,w,o,e,w,v,g,e
b,f,n,f,n,f,c,n,b,t,s,s,y,w,p,w,o,e,w,<nil>,<nil>,e
b,f,y,f,f,<nil>,c,b,b,e,k,k,p,w,p,w,o,l,h,<nil>,g,p
b,f,y,f,f,f,c,b,<nil>,e,<nil>,k,w,w,p,w,o,l,h,v,d,p
<nil>,y,<nil>,f,f,f,c,n,b,t,<nil>,s,w,w,p,w,o,<nil>,w,v,g,p
<nil>,g,y,t,n,f,c,n,b,e,s,s,y,e,p,w,o,p,k,<nil>,<nil>,e
<nil>,s,g,f,n,a,c,n,b,e,s,s,w,w,p,<nil>,o,p,<nil>,v,d,e
b,y,b,t,n,f,c,n,<nil>,e,s,s,w,w,p,w,o,p,k,v,u,e
f,y,e,f,f,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
c,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,d,e
x,y,g,<nil>,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
f,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
b,y,u,f,n,f,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,<nil>,e
<nil>,y,e,f,s,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,n,f,s,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
s,y,u,<nil>,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,<nil>,h,v,g,p
<nil>,y,g,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,<nil>,<nil>,w,v,g,p
<nil>,y,g,f,n,f,c,b,b,t,s,s,w,w,p,w,o,<nil>,w,v,d,e
b,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
x,<nil>,u,f,f,f,c,b,b,t,s,y,w,o,p,w,<nil>,e,<nil>,v,g,e
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,w,e
x,g,<nil>,t,n,f,c,b,e,t,s,<nil>,w,g,p,w,<nil>,p,b,v,l,e
<nil>,y,e,f,y,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
<nil>,y,y,f,n,f,c,n,<nil>,<nil>,s,s,w,w,p,w,o,e,w,v,m,e
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,f,w,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,<nil>,e
<nil>,f,y,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
<nil>,y,n,f,n,f,c,n,o,t,<nil>,s,e,w,p,w,o,e,w,a,<nil>,e
b,y,u,t,n,f,c,n,<nil>,e,s,s,w,w,p,w,o,p,k,v,u,e
<nil>,y,n,f,<nil>,a,c,b,b,e,s,s,w,w,p,w,o,p,b,<nil>,<nil>,e
<nil>,<nil>,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
s,s,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,<nil>,o,e,w,v,d,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,g,p
<nil>,g,y,t,n,a,c,n,b,e,s,s,w,w,p,w,t,n,u,v,g,e
<nil>,f,<nil>,f,n,f,w,n,b,t,s,s,w,w,p,w,o,e,w,y,l,e
c,f,e,f,<nil>,<nil>,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,<nil>,w,e
x,y,e,f,<nil>,f,c,n,b,t,<nil>,s,<nil>,w,p,w,o,e,w,v,d,p
<nil>,<nil>,p,f,n,a,c,b,b,t,s,k,w,g,p,w,o,p,u,v,d,e
b,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,n,<nil>,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,w,e
<nil>,<nil>,w,t,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,u,p
<nil>,f,<nil>,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
<nil>,y,u,f,n,a,c,n,b,e,s,s,w,w,p,<nil>,o,p,o,<nil>,g,e
f,y,r,f,n,a,c,b,b,e,s,<nil>,w,w,p,w,t,f,u,v,d,e
<nil>,<nil>,n,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,l,p
<nil>,s,n,f,n,f,c,n,w,t,<nil>,s,y,w,p,w,o,e,w,<nil>,u,e
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,f,<nil>,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
f,f,g,<nil>,f,f,c,b,b,e,k,k,n,b,p,w,o,<nil>,h,v,d,p
<nil>,s,b,t,n,a,c,n,b,t,k,s,w,w,p,w,o,e,u,v,d,e
<nil>,y,e,f,<nil>,f,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,<nil>,g,p
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
b,f,y,f,f,f,c,b,b,e,<nil>,k,w,w,p,w,o,l,h,v,<nil>,p
<nil>,<nil>,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,w,e
<nil>,y,n,f,n,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
<nil>,f,y,t,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
<nil>,y,g,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,w,e
b,f,g,<nil>,f,f,c,b,<nil>,e,k,k,w,p,p,w,o,l,h,<nil>,g,p
b,f,g,f,f,f,c,b,b,e,k,<nil>,w,w,p,w,o,l,h,v,d,p
x,y,g,<nil>,<nil>,f,<nil>,n,<nil>,t,s,s,w,w,p,w,<nil>,e,w,v,<nil>,p
k,<nil>,p,t,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,l,e
<nil>,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,<nil>,p
f,f,y,t,n,f,w,b,b,e,<nil>,f,w,w,p,w,o,p,k,v,<nil>,e
s,s,g,f,n,f,w,b,b,e,s,s,w,w,p,w,o,<nil>,k,<nil>,d,e
<nil>,<nil>,w,f,n,f,w,n,b,e,s,s,w,o,p,w,o,<nil>,k,v,w,e
x,y,e,f,f,f,c,n,b,t,s,s,w,w,p,<nil>,<nil>,e,w,v,g,p
b,y,b,<nil>,n,a,w,b,b,e,s,k,<nil>,w,p,w,o,p,r,a,m,e
<nil>,g,n,t,n,<nil>,c,n,b,e,s,s,w,w,p,w,o,p,k,v,d,e
x,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,y,e,<nil>,n,f,c,n,<nil>,t,s,s,w,w,p,w,<nil>,e,w,v,d,e
b,f,g,f,f,f,c,b,b,e,<nil>,k,w,w,p,w,o,l,h,v,g,p
x,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
<nil>,f,y,f,f,f,<nil>,b,b,e,<nil>,k,w,w,p,w,o,l,h,v,<nil>,p
<nil>,s,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
<nil>,y,n,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,g,t,n,a,c,b,b,e,s,s,w,w,p,w,<nil>,p,n,v,<nil>,e
<nil>,y,n,f,n,f,c,b,b,t,s,s,w,w,p,w,o,<nil>,w,v,l,p
s,f,y,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,g,p
<nil>,y,n,f,y,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,<nil>,p
<nil>,y,y,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,<nil>,e
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
s,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,p
c,g,g,t,n,<nil>,w,n,b,e,s,s,w,w,p,w,o,p,k,<nil>,g,e
x,s,w,f,n,f,<nil>,n,b,e,s,s,w,w,p,w,o,p,k,v,l,e
x,g,n,<nil>,n,a,w,n,e,e,s,s,b,b,p,w,o,p,n,<nil>,d,e
x,y,p,f,c,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
f,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,s,g,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,<nil>,p
x,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,<nil>,e
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,w,v,d,e
<nil>,y,e,f,f,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
<nil>,y,<nil>,f,n,a,c,b,b,t,<nil>,s,g,w,p,w,o,p,y,<nil>,<nil>,e
x,g,<nil>,t,n,a,<nil>,b,e,e,s,s,b,o,p,w,o,p,b,c,p,e
x,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,e
b,f,w,f,n,a,c,b,b,t,s,f,w,w,p,w,o,p,y,v,l,e
c,y,w,f,<nil>,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
x,y,u,t,n,f,c,b,<nil>,t,s,<nil>,w,w,p,w,o,p,k,v,l,e
<nil>,y,b,f,n,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
f,y,n,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,d,p
x,g,e,t,<nil>,f,c,b,b,e,s,k,w,b,p,w,o,p,k,v,g,e
<nil>,f,<nil>,f,f,f,c,b,b,e,<nil>,k,w,w,p,<nil>,o,l,h,v,p,p
f,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,p
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,<nil>,o,l,h,v,g,p
<nil>,y,e,f,n,a,c,n,b,e,s,s,b,w,p,w,o,p,n,<nil>,p,e
x,f,y,f,f,<nil>,c,b,<nil>,e,<nil>,k,w,w,p,w,o,l,h,v,d,p
<nil>,y,e,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,y,r,f,n,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
<nil>,y,p,f,n,a,c,b,b,t,s,<nil>,w,w,p,w,o,p,w,v,d,e
<nil>,y,<nil>,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,<nil>,e
b,y,u,f,n,a,c,b,b,e,s,<nil>,w,w,p,w,o,p,o,v,<nil>,e
f,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
k,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,d,e
<nil>,s,e,f,n,a,c,n,b,t,s,s,<nil>,w,p,w,o,p,y,v,<nil>,e
s,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,u,e
x,y,w,t,n,f,c,n,b,e,s,s,w,w,p,w,o,p,k,<nil>,g,p
s,y,w,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,m,e
<nil>,y,u,t,n,f,c,n,b,e,s,s,w,w,p,w,o,p,k,v,g,p
<nil>,y,n,f,n,f,c,n,b,<nil>,<nil>,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,r,f,n,f,c,<nil>,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,n,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
f,f,g,f,f,f,<nil>,b,b,e,k,k,w,<nil>,p,w,o,l,h,v,d,p
b,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,d,e
<nil>,y,<nil>,f,<nil>,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,<nil>,p
k,y,<nil>,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,<nil>,p
f,y,n,f,p,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,<nil>,v,u,p
f,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
x,y,n,f,p,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,w,v,<nil>,p
<nil>,y,n,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,<nil>,v,g,e
