cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
f,g,g,t,n,a,c,b,n,e,s,y,g,y,p,n,o,f,o,v,d,e
x,y,y,f,f,f,c,b,p,e,k,k,b,b,p,w,o,l,h,y,g,p
f,y,y,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,v,p,p
x,y,e,f,s,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,d,p
x,g,y,f,n,a,c,b,o,e,s,f,o,p,p,o,n,l,n,y,p,e
k,s,e,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
b,g,g,t,n,a,c,b,o,t,s,s,w,p,p,y,o,p,u,c,w,e
x,y,e,f,f,f,c,n,b,t,k,s,w,w,p,w,o,e,w,v,d,p
b,f,y,f,n,a,c,b,e,t,s,f,y,o,p,y,o,n,o,v,l,e
x,f,g,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,y,g,p
x,s,p,t,n,f,c,b,g,t,f,k,b,w,p,o,t,p,w,y,l,e
f,f,y,f,f,f,c,b,p,e,k,k,n,n,p,w,o,l,h,v,d,p
c,f,p,f,n,f,w,b,b,t,s,s,p,o,p,y,t,p,k,n,d,e
f,g,g,f,n,f,w,b,w,e,k,y,b,o,p,n,t,p,b,s,l,e
f,y,y,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,y,p,p
f,s,g,t,f,f,c,b,w,t,s,f,w,w,p,w,o,p,h,v,u,p
x,y,y,f,f,f,c,b,p,e,k,k,n,b,p,w,o,l,h,v,g,p
x,y,y,f,f,f,c,b,g,e,k,k,n,b,p,w,o,l,h,v,g,p
x,y,u,f,n,f,w,b,e,t,k,f,o,g,p,y,n,p,n,y,d,e
k,g,w,t,a,a,w,n,g,t,s,f,o,b,p,o,t,l,u,n,d,e
x,s,b,f,n,f,c,b,p,t,y,s,w,b,p,o,n,f,b,s,l,e
b,s,b,t,n,f,c,b,r,e,s,s,w,w,p,w,t,p,r,v,m,p
f,f,y,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,y,d,p
f,f,y,f,n,f,c,b,e,e,k,s,e,y,p,y,o,n,o,s,g,e
f,s,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,s,g,p
b,y,b,f,l,a,w,b,n,t,f,y,w,y,p,o,t,l,u,s,m,e
k,f,g,f,n,f,w,b,p,e,k,k,w,w,p,w,t,p,w,s,g,p
c,y,g,t,n,a,c,b,b,t,k,s,g,y,p,n,t,n,n,c,d,e
f,y,y,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,n,y,p,p
f,f,y,f,f,f,c,b,g,e,k,k,n,p,p,w,o,l,h,y,d,p
c,y,g,t,n,a,c,b,b,e,k,f,e,e,p,w,n,p,k,c,w,e
x,f,n,t,n,f,c,b,w,t,s,s,g,p,p,w,o,p,k,y,d,e
x,f,g,t,n,f,c,b,p,t,s,s,p,w,p,w,o,p,k,v,d,e
x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,g,e
b,f,y,t,n,a,c,b,p,e,k,f,y,w,p,n,n,p,w,y,m,e
c,y,b,f,n,f,w,b,b,e,k,f,g,e,p,o,t,l,y,y,d,e
x,g,y,t,n,a,c,b,g,t,f,s,w,o,p,w,n,p,h,c,u,e
x,s,b,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,s,g,p
x,s,n,f,y,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,p,p
x,s,y,t,n,a,w,b,e,t,f,s,o,e,p,n,o,e,k,a,u,e
c,s,b,f,n,a,c,b,n,e,s,y,p,b,p,y,o,l,y,v,l,e
f,s,n,f,n,a,w,b,r,e,s,f,o,b,p,o,n,p,n,s,g,e
x,g,w,f,a,a,w,n,p,e,f,y,w,o,p,w,n,l,n,n,l,e
b,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
f,y,g,f,f,f,c,b,p,e,k,k,p,b,p,w,o,l,h,v,d,p
f,y,g,t,n,f,c,b,e,t,y,k,y,p,p,w,n,p,n,v,d,e
b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,u,f,n,a,c,b,n,t,s,k,y,o,p,o,o,p,n,y,w,e
k,s,e,f,y,f,c,n,b,t,s,s,w,p,p,w,o,e,w,v,p,p
f,y,g,f,f,f,c,b,p,e,k,k,p,n,p,w,o,l,h,y,d,p
k,s,e,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,d,p
f,s,e,f,f,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,l,p
x,y,n,f,s,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,d,p
x,y,g,f,f,f,c,b,h,e,k,k,b,n,p,w,o,l,h,y,d,p
b,y,n,f,l,f,c,b,e,t,y,y,w,w,p,y,t,l,o,y,g,e
x,s,n,t,n,a,w,b,o,t,y,s,w,e,p,w,o,e,o,n,p,e
f,y,n,f,s,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,d,p
s,s,y,t,n,a,w,b,o,t,y,s,o,w,p,o,o,e,n,a,u,e
f,y,n,f,f,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
b,s,e,t,n,f,w,b,g,t,k,y,e,p,p,w,t,l,w,s,p,e
f,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,g,p
f,y,b,t,a,a,w,n,y,e,s,f,w,e,p,w,t,e,r,c,d,e
f,y,e,f,f,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
c,s,u,t,n,a,c,b,h,e,s,f,b,w,p,n,n,e,k,c,p,e
f,g,u,t,n,f,w,b,y,t,k,f,g,e,p,y,n,n,n,c,p,e
k,f,g,t,l,a,w,b,p,t,s,s,o,o,p,w,t,n,n,s,m,e
f,g,n,t,n,a,c,b,o,t,f,y,g,g,p,w,t,f,w,v,l,e
f,f,g,f,f,f,c,b,h,e,k,k,p,n,p,w,o,l,h,y,p,p
c,y,b,t,n,f,c,b,p,e,y,s,b,b,p,o,n,n,k,c,g,e
x,y,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,g,p
x,y,n,f,n,f,w,n,w,e,f,f,w,n,p,w,o,e,w,v,l,p
f,f,g,f,f,f,c,b,g,e,k,k,p,p,p,w,o,l,h,v,g,p
k,s,y,t,n,f,c,b,b,e,s,f,o,w,p,o,n,p,w,v,l,e
f,y,g,f,f,f,c,b,g,e,k,k,b,n,p,w,o,l,h,y,d,p
f,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,p
k,y,n,f,n,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,p
b,s,p,f,l,f,c,b,w,t,f,k,b,w,p,y,t,e,n,y,p,e
x,f,w,f,c,f,c,n,u,e,s,s,w,w,p,w,o,p,n,s,d,p
f,y,y,f,f,f,c,b,g,e,k,k,p,p,p,w,o,l,h,v,d,p
f,f,y,t,n,a,w,b,k,e,k,s,e,w,p,y,o,f,o,c,u,e
f,f,g,f,f,f,c,b,p,e,k,k,n,b,p,w,o,l,h,v,d,p
f,s,n,f,y,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,p,p
k,y,b,t,n,a,c,b,y,t,s,k,y,o,p,n,t,l,u,c,g,e
b,y,w,t,n,f,w,b,p,e,s,y,w,o,p,y,o,f,w,y,l,e
f,s,n,f,s,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
f,f,g,f,n,f,c,b,n,e,s,s,y,o,p,n,o,p,r,y,d,e
f,g,u,t,n,f,w,b,p,t,y,k,p,w,p,w,n,p,w,c,g,e
x,y,p,t,n,a,w,b,y,e,f,s,o,g,p,w,o,n,n,n,g,e
x,f,u,f,n,a,c,b,b,t,y,s,o,y,p,n,o,p,n,a,d,e
k,y,e,t,n,f,c,b,r,e,s,s,w,g,p,w,n,n,r,y,d,e
f,s,n,f,f,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,d,p
k,f,g,t,n,a,c,b,p,e,s,f,g,p,p,n,t,p,k,s,p,e
b,g,e,f,l,f,w,b,y,t,s,s,y,w,p,o,n,p,k,n,w,e
x,s,u,t,n,a,w,b,g,e,y,s,g,w,p,w,o,l,k,v,l,e
f,f,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g,e
b,y,n,f,n,f,c,b,w,e,y,y,n,n,p,w,t,p,w,y,p,p
x,f,n,t,n,f,c,b,u,t,s,s,p,p,p,w,o,p,n,y,d,e
f,s,p,f,n,a,w,b,n,e,y,s,g,g,p,n,o,f,r,a,d,e
s,y,n,t,n,f,w,b,p,e,y,s,y,g,p,n,t,n,r,y,p,e
x,f,b,t,n,a,c,b,p,e,f,f,g,e,p,w,o,l,n,v,p,e
b,s,r,t,a,a,c,b,g,t,s,k,y,p,p,w,n,f,k,c,g,e
k,s,e,f,f,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,p,p
f,s,p,t,n,f,c,b,r,e,s,s,w,w,p,w,t,p,r,v,g,p
x,s,e,f,s,f,c,n,b,t,k,k,w,p,p,w,o,e,w,v,p,p
c,y,e,f,n,f,w,b,p,t,s,f,w,w,p,o,o,p,n,v,l,e
x,f,g,f,c,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,d,p
k,y,y,t,l,a,c,n,b,e,s,s,w,w,p,y,n,e,u,s,p,e
x,f,e,f,n,f,w,b,p,e,f,k,p,p,p,w,o,p,o,a,g,e
f,f,g,t,n,a,c,b,e,t,f,s,e,o,p,y,n,p,w,a,m,e
c,s,b,t,n,a,c,b,b,t,s,f,y,w,p,w,o,e,k,v,g,e
s,y,y,t,n,a,c,n,p,t,k,f,w,b,p,w,t,f,k,a,u,e
f,f,y,f,n,a,c,b,b,t,s,y,b,y,p,o,o,e,w,y,w,e
b,y,u,f,n,a,c,b,n,e,s,k,p,g,p,o,n,p,n,c,d,e
k,f,e,f,n,a,c,b,o,e,s,y,b,b,p,n,n,e,o,a,g,e
f,s,g,t,n,a,w,b,g,t,s,k,w,o,p,y,o,e,n,a,g,e
b,f,n,f,n,f,c,b,y,e,s,f,y,y,p,w,n,n,n,a,l,e
x,f,y,f,f,f,c,b,h,e,k,k,p,n,p,w,o,l,h,v,g,p
f,f,y,f,f,f,c,b,p,e,k,k,b,n,p,w,o,l,h,y,d,p
f,y,e,f,f,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,p,p
x,g,y,f,a,a,w,b,w,t,f,f,y,e,p,y,n,e,k,n,g,e
f,f,g,f,n,a,w,b,e,e,k,y,g,g,p,o,o,l,n,y,w,e
f,g,b,f,n,a,w,b,o,t,f,s,w,b,p,y,n,e,k,a,u,e
f,s,e,f,f,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,p,p
c,f,n,f,n,a,w,b,n,t,s,s,o,b,p,y,t,f,n,s,d,e
c,s,g,f,n,a,c,b,g,e,k,y,w,e,p,w,n,p,w,y,g,e
f,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u,p
s,s,w,t,n,a,w,b,u,e,s,s,p,w,p,o,t,p,o,a,u,e
f,s,e,f,s,f,c,n,b,t,s,s,p,p,p,w,o,e,w,v,p,p
f,y,n,f,s,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,d,p
s,y,w,t,n,a,w,b,w,t,f,y,y,p,p,n,t,p,w,n,g,e
f,f,g,f,f,f,c,b,g,e,k,k,p,n,p,w,o,l,h,v,g,p
x,s,g,f,c,f,w,n,g,e,s,s,w,w,p,w,o,p,n,s,d,p
x,y,g,f,n,a,c,b,o,e,s,y,o,g,p,y,t,f,o,a,d,e
x,y,y,f,f,f,c,b,p,e,k,k,p,b,p,w,o,l,h,v,p,p
x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,g,p
x,y,n,f,l,f,c,b,y,t,k,y,y,o,p,n,n,p,k,n,g,e
c,f,u,t,n,f,c,b,e,t,s,y,b,b,p,o,t,p,o,a,w,e
x,g,b,t,n,f,c,b,e,t,y,s,p,g,p,w,t,f,b,a,l,e
f,s,e,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
c,f,y,t,n,a,w,b,g,e,s,y,y,w,p,w,o,f,k,c,m,e
k,s,y,t,n,f,w,b,e,t,s,k,p,y,p,w,n,e,n,n,p,e
f,y,e,f,m,f,c,b,y,e,k,y,c,c,p,w,n,n,w,c,d,p
b,s,y,f,n,f,c,b,e,e,k,k,b,w,p,o,n,p,w,a,g,e
f,f,w,f,n,a,w,b,h,e,y,f,p,w,p,o,o,l,n,y,l,e
x,f,y,f,f,f,c,b,p,e,k,k,n,b,p,w,o,l,h,y,d,p
s,s,n,f,a,f,w,b,o,t,s,f,e,y,p,n,o,p,o,a,g,e
s,y,g,f,n,f,c,b,e,t,f,s,w,w,p,o,t,e,k,a,u,e
k,y,n,f,n,a,w,b,b,e,f,s,w,e,p,y,n,e,b,n,g,e
x,s,p,t,n,f,c,b,w,e,s,s,w,w,p,w,t,p,w,v,p,p
s,s,n,t,n,a,c,n,b,t,y,k,w,w,p,n,t,p,y,n,d,e
b,g,w,t,n,f,w,n,w,e,s,s,w,w,p,w,o,p,w,c,l,p
k,g,y,t,n,a,c,b,k,e,s,s,w,p,p,w,t,n,u,n,g,e
s,f,y,f,l,a,w,b,b,e,s,y,e,w,p,y,o,p,o,y,l,e
c,y,e,f,n,f,c,b,p,e,y,s,w,e,p,y,t,l,w,s,w,e
x,y,e,f,f,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,d,p
f,g,p,f,n,f,w,b,p,t,s,k,n,g,p,w,o,p,u,y,g,e
x,f,g,f,n,f,w,b,w,e,k,k,w,w,p,w,t,p,w,s,g,p
k,y,n,f,n,a,c,b,b,t,y,s,w,n,p,w,n,l,w,y,w,e
f,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g,p
x,y,g,f,f,f,c,b,h,e,k,k,b,b,p,w,o,l,h,v,p,p
b,y,b,f,l,a,w,b,o,e,y,s,w,e,p,w,n,p,o,y,g,e
f,f,p,f,n,a,w,b,p,e,f,y,y,w,p,y,t,f,u,y,g,e
f,s,n,f,s,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,l,p
x,s,n,t,n,a,c,b,p,t,f,y,y,p,p,o,n,f,u,s,u,e
f,y,n,f,f,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,d,p
f,f,y,f,f,f,c,b,p,e,k,k,p,n,p,w,o,l,h,v,p,p
f,y,y,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,y,d,p
x,s,b,t,n,f,c,b,y,t,k,s,b,b,p,w,t,p,u,v,d,e
x,s,e,f,y,f,c,n,b,t,k,k,w,p,p,w,o,e,w,v,l,p
k,s,w,f,n,f,w,b,w,e,k,s,w,w,p,w,t,p,w,n,g,e
x,f,g,f,f,f,c,b,g,e,k,k,n,p,p,w,o,l,h,y,d,p
k,f,y,f,l,f,c,b,e,t,s,k,b,w,p,n,n,p,k,v,w,e
b,y,n,f,n,f,c,b,e,t,k,s,o,y,p,o,o,f,o,a,l,e
f,g,y,f,n,a,w,b,b,e,k,s,b,o,p,o,n,n,k,y,d,e
s,f,g,t,n,a,c,b,p,t,s,y,b,b,p,w,o,e,k,a,w,e
x,f,g,f,f,f,c,b,g,e,k,k,n,p,p,w,o,l,h,y,g,p
x,f,g,f,f,f,c,b,g,e,k,k,b,n,p,w,o,l,h,v,d,p
x,s,g,f,c,f,w,n,u,e,s,s,w,w,p,w,o,p,k,s,d,p
k,s,p,f,a,a,c,b,p,t,s,k,w,o,p,n,t,e,n,y,l,e
x,s,b,t,f,f,c,b,h,t,s,f,w,w,p,w,o,p,h,v,u,p
f,f,y,t,n,a,w,b,o,e,s,f,w,b,p,y,t,e,k,s,l,e
s,g,g,f,n,a,w,b,w,e,y,s,w,y,p,w,t,p,k,y,d,e
s,f,g,t,n,a,w,b,o,e,k,s,b,o,p,n,n,p,k,s,l,e
x,y,e,f,f,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,p,p
b,g,b,t,l,f,w,b,n,e,f,s,p,w,p,y,t,p,r,a,m,e
f,g,n,f,n,a,w,b,g,t,y,y,b,p,p,o,n,f,k,y,d,e
x,y,e,f,f,f,c,n,b,t,s,k,w,w,p,w,o,e,w,v,l,p
b,s,e,f,n,a,w,b,p,t,s,y,g,n,p,y,n,p,k,n,d,e
x,f,g,f,f,f,c,b,p,e,k,k,p,b,p,w,o,l,h,v,g,p
x,s,g,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,s,g,p
x,f,y,f,f,f,c,b,p,e,k,k,p,n,p,w,o,l,h,v,p,p
b,s,b,f,l,a,c,n,g,e,k,k,e,w,p,o,n,f,n,v,g,e
f,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u,p
f,y,n,f,n,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,p
f,s,g,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,s,g,e
k,y,n,f,y,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
s,f,y,f,n,f,c,n,e,e,k,s,w,w,p,w,n,p,n,v,u,e
f,y,g,f,f,f,c,b,h,e,k,k,b,p,p,w,o,l,h,y,g,p
k,s,n,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,g,e
k,y,e,f,m,f,c,b,w,e,k,y,c,c,p,w,n,n,w,c,d,p
s,y,y,t,n,a,c,n,o,t,s,y,b,o,p,w,t,f,n,y,d,e
f,f,g,f,f,f,c,b,p,e,k,k,n,n,p,w,o,l,h,v,g,p
c,g,g,f,a,a,c,b,e,e,y,k,w,w,p,y,t,n,k,s,g,e
x,g,w,t,l,a,c,b,p,t,y,s,w,w,p,o,n,p,k,n,l,e
x,g,n,f,n,f,c,b,e,e,k,k,b,b,p,n,o,p,n,v,p,e
x,f,p,f,c,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,d,p
f,y,e,t,n,f,c,b,u,t,s,s,w,w,p,w,o,p,k,v,d,p
f,s,g,t,f,f,c,b,h,t,s,f,w,w,p,w,o,p,h,v,u,p
x,y,e,t,n,f,w,b,o,e,s,s,b,b,p,w,n,p,n,v,u,e
s,s,n,t,n,f,c,b,h,t,k,s,p,y,p,w,t,f,n,n,g,e
x,s,e,f,f,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
f,y,e,f,n,a,c,b,p,t,s,s,g,b,p,y,n,n,y,a,u,e
k,g,b,t,l,a,c,b,e,t,s,k,b,o,p,o,t,f,b,c,m,e
k,s,g,f,n,f,c,b,o,e,s,y,p,y,p,w,n,e,w,v,u,e
b,f,g,f,n,f,c,b,n,e,f,f,p,p,p,w,t,p,y,c,l,e
c,s,g,t,n,a,c,b,n,e,s,f,b,b,p,w,o,e,k,s,g,e
x,f,w,t,a,f,c,b,b,t,s,k,y,b,p,w,o,l,k,n,l,e
s,y,b,f,n,a,w,b,b,t,s,y,o,p,p,o,o,l,k,y,d,e
f,y,n,t,n,f,c,b,w,t,s,s,w,w,p,w,o,p,n,v,d,p
x,g,e,t,n,a,w,b,e,e,s,k,o,b,p,w,n,e,k,y,g,e
x,y,g,f,f,f,c,b,g,e,k,k,n,p,p,w,o,l,h,v,p,p
f,y,e,f,f,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,p,p
x,y,y,f,f,f,c,b,h,e,k,k,b,p,p,w,o,l,h,y,g,p
k,f,e,f,a,a,c,b,e,e,s,y,b,o,p,y,o,p,n,n,p,e
x,y,y,f,f,f,c,b,h,e,k,k,b,p,p,w,o,l,h,v,d,p
x,y,e,f,f,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,d,p
b,g,u,f,n,a,c,b,b,e,k,s,y,e,p,n,t,f,b,y,g,e
b,s,p,f,n,a,w,b,g,e,s,k,y,y,p,w,n,p,n,s,l,e
x,y,b,t,n,f,c,b,w,e,s,s,w,w,p,w,t,e,w,c,w,e
b,y,u,f,n,a,c,b,y,t,y,s,g,p,p,o,n,p,o,s,d,e
f,s,g,t,f,f,c,b,p,t,s,f,w,w,p,w,o,p,h,v,g,p
x,s,e,f,f,f,c,n,b,t,s,s,w,p,p,w,o,e,w,v,l,p
k,f,b,t,n,a,c,b,u,e,y,s,e,g,p,o,t,p,n,y,d,e
x,s,y,f,n,a,c,b,b,e,s,s,e,e,p,y,o,e,y,c,w,e
s,y,e,f,n,a,c,b,p,t,s,k,y,b,p,w,n,p,k,n,u,e
x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,g,p
s,f,w,t,n,a,c,b,p,t,k,f,y,o,p,o,o,p,n,v,m,e
x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,s,g,p
k,y,n,f,m,a,c,b,w,e,k,y,c,c,p,w,n,n,w,c,d,p
f,y,r,f,n,f,c,n,h,e,s,f,w,w,p,w,o,f,h,v,d,p
f,s,n,f,s,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,l,p
f,f,g,f,f,f,c,b,h,e,k,k,p,b,p,w,o,l,h,v,d,p
f,y,n,t,n,a,w,b,p,t,s,y,w,p,p,w,t,p,k,y,d,e
f,y,g,t,n,f,c,b,u,t,s,s,g,g,p,w,o,p,k,y,d,e
x,s,p,f,c,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,d,p
k,s,n,f,f,f,c,n,b,t,s,s,p,p,p,w,o,e,w,v,d,p
f,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,g,p
f,y,e,f,y,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,l,p
x,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,p
x,s,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,a,g,e
x,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m,e
c,f,y,t,n,a,c,b,o,e,k,k,b,n,p,n,o,p,o,v,w,e
c,s,b,f,n,a,c,b,e,t,k,k,b,p,p,w,t,e,u,c,p,e
x,s,p,f,c,f,w,n,u,e,s,s,w,w,p,w,o,p,n,s,d,p
f,y,r,f,n,f,c,n,w,e,s,f,w,w,p,w,o,f,h,y,d,p
b,y,n,f,n,a,c,b,b,e,f,s,y,g,p,w,o,f,k,v,w,e
x,y,b,f,l,f,w,n,p,e,s,s,o,w,p,o,n,l,u,c,d,e
x,f,g,f,f,f,c,b,g,e,k,k,n,p,p,w,o,l,h,v,g,p
s,g,b,t,n,a,w,n,w,t,y,f,b,y,p,o,t,n,w,n,d,e
x,s,w,f,n,f,w,b,y,t,s,s,e,w,p,y,o,e,n,v,m,e
b,f,y,t,a,f,c,b,b,t,y,s,w,w,p,w,o,p,k,a,p,e
x,f,g,f,n,f,w,b,p,e,k,k,w,w,p,w,t,p,w,s,g,p
c,f,n,t,n,a,w,b,p,e,k,k,y,p,p,o,o,f,w,v,u,e
c,s,b,t,n,a,w,b,g,e,f,k,y,o,p,o,n,p,w,v,l,e
f,s,n,f,y,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,p,p
f,f,e,t,n,f,c,b,p,t,s,s,g,g,p,w,o,p,n,v,d,e
k,f,e,t,n,a,c,b,p,t,s,f,p,o,p,w,t,n,o,y,d,e
f,s,n,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,d,p
x,f,y,f,f,f,c,b,h,e,k,k,b,n,p,w,o,l,h,y,d,p
f,f,g,f,f,f,c,b,p,e,k,k,n,p,p,w,o,l,h,y,p,p
x,g,y,f,n,a,w,b,u,t,y,k,o,y,p,w,n,p,b,y,w,e
f,s,n,f,n,a,c,b,y,e,s,s,o,o,p,o,o,p,y,v,l,e
f,y,e,f,s,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,p,p
k,s,e,f,s,f,c,n,b,t,s,s,p,p,p,w,o,e,w,v,p,p
x,y,n,t,n,f,c,b,n,t,s,s,g,p,p,w,o,p,k,v,d,e
x,s,p,t,n,a,w,b,y,t,y,s,w,y,p,y,t,l,w,c,p,e
k,y,e,f,y,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,l,p
f,f,e,t,n,f,c,b,n,t,s,s,w,g,p,w,o,p,n,y,d,e
k,y,n,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,p,p
s,f,g,f,n,f,w,b,w,t,k,y,e,p,p,y,t,p,w,c,l,e
k,y,u,f,n,a,w,b,w,e,y,y,p,p,p,n,n,p,n,v,u,e
f,s,e,t,n,f,w,b,o,t,y,s,o,e,p,o,t,l,n,s,g,e
f,y,g,f,f,f,c,b,h,e,k,k,b,n,p,w,o,l,h,y,d,p
c,y,b,f,n,a,w,b,n,e,s,s,o,e,p,w,t,e,n,n,l,e
s,y,p,t,n,a,c,b,w,t,k,s,w,w,p,w,n,e,n,n,w,e
x,s,g,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,s,g,e
b,s,b,t,n,a,c,b,y,t,s,s,y,b,p,n,n,p,k,s,p,e
f,y,p,t,n,a,c,b,y,t,s,f,p,b,p,o,n,f,w,c,p,e
