Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A12,12.0,A32,A48,15643.100530338372,A61,A73,3.673346787848594,A93,A101,3.705278171980611,A121,31.0,A143,A152,3.911288817373337,A174,1.0,A192,A201,1
A11,18.0,A32,A42,3650.0,A61,A72,1.0,A92,A101,4.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,15.0,A32,A45,1514.0,A61,A73,4.0,A93,A101,3.270953125757449,A121,22.0,A143,<nil>,1.0,A173,1.0,A191,A201,1
A11,21.0,A32,A43,2606.0,A61,A72,4.0,<nil>,A101,4.0,A123,28.0,A143,A152,1.0,A174,1.0,A192,A201,1
A11,24.0,A30,A42,1747.0,A61,A72,4.0,A92,A101,2.2549103560427746,<nil>,64.58922884357185,A143,A152,2.13880462389814,A173,1.3663087098913445,A191,A201,1
A13,12.0,A32,A42,2251.0,A61,A73,1.0,<nil>,A101,3.948781290457544,<nil>,46.0,<nil>,A152,1.0,A172,1.0,A191,A201,1
A14,18.0,A32,A40,1820.0,A61,A73,2.0,A92,A101,2.0,<nil>,30.0,A143,A152,3.4945521949858325,A173,1.0,A191,A201,1
A12,10.0,A32,A43,1048.0,A61,A73,4.0,A93,A101,4.0,<nil>,23.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,48.0,A32,A43,6999.0,A61,A74,1.0,A94,A101,1.0,A121,34.0,A143,<nil>,2.0,A173,1.0,A192,A201,2
A12,48.0,A32,A46,7582.0,A61,A71,2.0,A94,A101,4.0,<nil>,31.0,A143,A152,1.0,A173,1.64914783889158,A192,A201,1
A14,24.0,A32,A43,1278.0,A61,A75,4.0,A93,A101,1.0,A121,36.0,A143,A152,1.0,A174,1.0,<nil>,A201,2
A11,40.74592317204877,A32,A40,12614.80255791304,A61,A73,3.624918570653855,A93,A101,3.1592011708338488,A123,24.0,A143,A152,1.0,A173,1.0,A191,<nil>,1
A14,24.0,A32,A43,1278.0,A61,A75,2.245831441294338,A93,A101,2.6442683724801954,A121,36.0,A143,A152,1.0,A173,1.0,<nil>,<nil>,1
A14,10.0,A32,A49,1924.0,A61,A73,1.0,A93,A101,4.0,A122,38.0,A143,A152,1.999181703334784,A173,1.6878320330300571,A191,A201,1
A13,15.0,A32,A43,2327.0,A61,A72,2.0,A92,A101,3.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201,2
A11,39.31832564693872,A32,A43,3509.0,A61,A74,4.0,A92,A101,3.53888923308405,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,30.0,A32,A42,2406.0,A61,A74,4.0,A92,A101,4.0,A121,23.0,<nil>,A152,1.0,A173,1.0,A191,A201,2
A12,12.0,A32,A43,11410.769780806317,A61,A74,2.0,A92,A101,1.0,A121,27.0,A143,A152,1.0,<nil>,1.0,A191,<nil>,1
A11,24.0,A32,A41,2812.0,A61,A75,3.533306148086883,A93,A101,4.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,<nil>,1
A14,9.0,A32,A42,1449.0,A61,A74,3.0,A94,A101,3.335713065189683,A123,27.0,A143,A152,2.0,A173,1.387791195152668,A191,A201,1
A14,24.0,A32,A42,929.0,A61,A72,1.2097016794784552,A92,A101,2.0,A123,31.0,A143,A152,2.8312981369475154,A171,1.0,<nil>,A201,1
A12,36.757644049046014,A32,A42,2333.0,A61,A72,4.0,A93,A101,2.0,A122,29.0,A143,A152,1.967506939000288,<nil>,1.7214596090155947,A192,A201,1
A14,10.0,A32,A40,15146.036559406695,A61,A73,1.2062496154505058,A94,A101,3.5213781073620543,A121,40.0,A143,A152,1.0,A173,2.0,A191,A201,1
A14,6.0,A32,A43,2108.0,A61,A74,3.6677832583425336,A94,A101,2.0,A123,70.50337986250243,A143,A152,2.654152877994022,A173,1.0,A191,A201,1
A14,9.0,A32,A44,1236.0,A61,A72,3.600418422848326,A94,A101,4.0,A122,23.0,A143,A152,1.0,A173,1.5244398380020323,A191,<nil>,1
A14,12.0,A32,A48,2390.0,A61,A75,4.0,A93,A101,3.0,<nil>,50.0,A143,A152,3.806329721025256,A173,1.0,A191,A201,1
A11,12.0,A32,A40,1228.0,A61,A73,4.0,A92,A101,2.0,A121,24.0,A143,A152,1.0,A172,1.0,<nil>,A201,2
A11,32.90359592449771,A30,A49,3590.0,A61,A73,2.0,A93,<nil>,3.4462156235096235,A121,29.0,A143,<nil>,2.0933247725562847,A173,2.0,A192,A201,1
A14,24.0,A32,A40,7000.657756715472,A61,A74,1.1704147453928275,<nil>,A101,4.0,<nil>,56.33258468403157,A143,A152,1.0,A173,1.8242211356064304,A192,A201,1
A11,12.0,A34,A40,691.0,A61,A75,4.0,A93,A101,3.0,A122,35.0,A143,A152,2.0,A173,1.0,A191,A201,2
A12,18.0,A32,A410,866.0,A61,A73,4.0,A92,A101,3.1799107469136385,A123,25.0,A143,A152,1.0,A173,1.6600346104219246,A191,A201,1
A12,15.0,A30,A40,1778.0,A61,A72,2.0,A92,A101,1.0,<nil>,26.0,A143,<nil>,2.0,A173,1.0,A191,A201,2
A14,30.0,A32,A40,4811.0,A61,A74,2.0,A93,A101,1.0487077652639825,A122,24.0,A143,A152,1.0,<nil>,1.4387182026256542,A191,A201,1
A14,12.0,A32,A43,5562.519039944508,A61,A75,3.908488378229087,A93,<nil>,2.0,<nil>,47.14905623296384,A143,A152,3.208888530984308,<nil>,1.0,A192,A201,1
A12,12.0,A32,A43,1092.0,A61,A73,4.0,A94,A101,4.0,<nil>,49.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,15.0,A34,A42,1433.0,A61,A73,4.0,A92,A101,3.0,A122,25.0,A143,A152,2.0,A173,1.0,A191,A201,2
A12,49.45377911808083,A32,A41,2760.0,A61,A73,1.289684636453,A91,A101,1.9506609935246688,A124,36.0,A143,A152,2.5295722457483936,<nil>,1.892992669127617,A191,A201,1
A12,36.0,A32,A45,2384.0,A61,A72,4.0,A93,A101,1.0,A124,33.0,A143,A152,1.0,A173,1.0,A191,A201,2
A12,12.0,A32,A49,6682.105510435249,A61,A74,2.0,<nil>,A101,4.0,<nil>,23.0,A143,A153,2.894559289986958,A173,1.0,A191,A201,1
A12,36.0,A32,A43,3804.0,A61,A73,4.0,A92,A101,1.0,A123,42.0,<nil>,<nil>,1.0,A173,1.0,A192,A201,2
A12,24.0,A33,A40,1965.0,A61,A73,4.0,<nil>,A101,4.0,<nil>,42.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,12.0,A32,A40,2121.0,A61,A71,2.62597672687005,A94,A101,2.0,A123,30.0,A143,A152,2.0,A173,1.4826717531418985,A191,A201,1
A14,6.0,A32,A40,3518.0,A61,A73,2.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A32,A49,4526.0,A61,A73,1.5834367614407094,A93,A101,3.3436444047966907,<nil>,74.0,A143,<nil>,1.0,A172,1.8291891984296624,A192,A201,1
A11,12.0,A32,A42,1858.0,A61,A72,4.0,A92,A101,1.0,<nil>,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,20.23885825170185,A32,A410,1164.0,A61,A75,1.1229375977475249,A93,A101,2.2974552474630463,A124,51.0,A143,<nil>,2.0,A174,1.5576512953562995,A191,A201,1
A14,12.0,A33,A45,1555.0,<nil>,A75,4.0,A93,A101,4.0,A124,55.0,A143,A152,2.0,A173,2.0,A191,A201,2
A13,15.0,A32,A49,2687.0,A61,A72,3.5128787583669485,A93,A101,2.396384090386923,A122,26.0,A143,A152,2.460314979708369,A173,1.718978456975591,A191,A201,1
A13,36.0,A32,A43,3913.0,A61,A73,3.4040392562303934,A94,A101,2.0,A123,38.75453776706603,A143,A152,3.0081594951652484,<nil>,1.986352851086199,A192,A201,1
A12,24.0,A34,A410,11938.0,A61,A73,2.0,A93,A101,3.0,A123,39.0,A143,A152,2.0,<nil>,2.0,A192,A201,2
A14,12.0,A32,A40,1495.0,A61,A75,4.0,A92,A101,1.0,A121,38.0,A143,<nil>,2.0,A173,2.0,A191,A201,2
A14,24.0,A34,A43,7091.977192330517,A61,A73,1.448043798210647,A93,A101,1.0,A121,43.0,A143,A152,3.041745003131417,A172,1.0,A192,A201,1
A11,24.0,A32,A49,6568.0,A61,A73,2.0,A94,A101,2.0,A123,21.0,A143,A152,1.0,A172,1.0,A191,A201,1
A12,30.0,A32,A42,8386.0,A61,A74,2.0,<nil>,A101,2.0,A122,49.0,A143,A152,1.0,A173,1.0,A191,A201,2
A11,12.0,A32,A40,1274.0,A61,A72,3.0,A92,A101,1.0,A121,37.0,A143,A152,1.0,A172,1.0,<nil>,A201,2
A12,53.26041368606557,A33,A49,7057.0,A61,A74,1.7708241702780774,A93,A101,4.0,<nil>,36.0,A143,A152,2.0,A173,1.5482254018130757,A192,<nil>,1
A14,18.0,A32,A42,1533.0,A61,A72,4.0,<nil>,A101,1.0,A122,43.0,A143,A152,1.0,A173,2.0,A191,<nil>,2
A12,18.0,A32,A49,1941.0,A61,A71,4.0,A93,A101,3.2096664512380424,A124,35.0,A143,A152,1.0,A173,1.716189272670924,A191,A201,1
A11,6.0,A32,A42,1872.0,A61,A71,4.0,A93,A101,4.0,A122,67.6581444783452,A143,A152,3.0,A171,1.0,A192,A201,1
A14,12.0,A32,A46,1393.0,A61,A75,4.0,A93,A101,4.0,A122,47.0,A143,A152,3.0,A173,2.0,A191,A201,1
A12,24.0,A30,A49,4241.0,A61,A73,1.0,A93,A101,4.0,<nil>,36.0,A143,A152,3.0,A172,1.0,A192,A201,2
A14,24.0,A34,A41,3868.0,A61,A75,4.0,A93,A101,2.0,A123,41.0,A143,A152,2.0,A174,1.0,A192,A201,2
A11,36.0,A34,A42,2348.0,A61,A73,3.0,A94,A101,2.0,A123,46.0,A143,A152,2.0,<nil>,1.0,A192,A201,2
A13,42.0,A30,A49,6289.0,A61,A72,2.0,A91,A101,1.0,A122,33.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,24.0,A32,A40,3757.0,A61,A75,4.0,<nil>,A101,4.0,<nil>,62.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,28.25401727320354,A32,A49,2576.0,A61,A73,3.311545960399848,A93,A101,3.534049157828945,A121,35.0,A143,A152,3.674869486593095,A173,1.3946340431126008,A191,A201,1
A12,48.0,A32,A49,6681.0,A61,A73,4.0,A93,A101,4.0,A124,38.0,<nil>,A152,1.0,A173,2.0,A192,A201,2
A14,36.0,A32,A42,3349.0,A61,A73,4.0,A92,A101,2.0,A123,28.0,A143,A152,1.0,<nil>,1.0,A192,A201,2
A11,15.0,A34,A42,1433.0,A61,A73,4.0,A92,A101,3.0,A122,25.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,14.0,A32,A40,3973.0,A61,A71,1.0,<nil>,A101,4.0,A124,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,30.0,A32,A44,2522.0,A61,A75,1.0,A94,A102,1.4909023684834133,A123,69.2634347135069,A143,<nil>,2.890070345714274,A171,2.0,A192,A201,1
A12,12.0,A32,A43,585.0,<nil>,A73,4.0,A94,A101,4.0,A121,20.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,30.0,A31,A49,1867.0,A61,A75,4.0,A93,A101,4.0,A124,37.66226750905634,A143,A152,3.547604707569396,A173,1.0,A192,A201,1
A14,37.68241162283766,A31,A49,1471.0,A61,A73,1.9453423032527104,A93,A101,4.0,A124,35.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,30.0,A30,A42,4583.0,A61,A73,2.0,A91,<nil>,2.0,A121,32.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,24.0,A32,A43,2439.0,A61,A72,4.0,<nil>,A101,4.0,A121,35.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,45.0,A32,A41,4576.0,A61,A71,3.0,A94,A101,4.0,<nil>,54.499315648411056,A143,A152,1.0,A173,1.7937814639827565,A192,A201,1
A14,12.0,A32,A48,3447.0,A61,A73,4.0,A92,A101,3.0,A121,35.0,A143,A152,1.0,A173,2.0,A191,A201,1
A11,6.0,A34,A43,1169.0,A61,A75,4.0,A93,<nil>,4.0,A121,67.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,30.0,<nil>,A42,3832.0,A61,A72,2.0,A94,A101,1.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,<nil>,A40,1207.0,A61,A72,4.0,A92,A101,4.0,A122,24.0,A143,A152,1.0,A173,1.0,A191,A201,2
A12,27.0,A32,A41,5965.0,A61,A75,2.85732635203312,A93,A101,3.207967826243728,<nil>,72.92989713177988,A143,A152,2.0,A172,1.0,A192,A201,1
A13,30.0,A34,A49,1908.0,A61,A75,4.0,<nil>,A101,4.0,A121,66.0,A143,A152,1.0,A174,1.0,A192,A201,2
A12,36.0,A34,A41,5800.0,A61,A73,3.0,A94,A101,4.0,<nil>,34.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,6.0,A32,A45,1543.0,A61,A72,1.2955815933152683,A91,<nil>,2.0,<nil>,64.67602382882657,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,A31,A40,1193.0,A61,A71,1.0,A92,<nil>,4.0,<nil>,29.0,A143,A152,2.0,A171,1.0,A191,<nil>,2
A14,24.0,A32,A49,7892.87542001154,A61,A73,3.132180406783532,A93,A101,2.0,<nil>,32.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,4.0,A30,A49,601.0,A61,A73,1.0,A93,A101,3.0,A121,23.0,A143,A152,3.530731771367347,A173,1.2428673138160784,A191,A201,1
A11,12.0,A32,A44,741.0,A61,A71,4.0,A92,A101,3.0,A122,22.0,A143,A152,1.0,A173,1.0,<nil>,<nil>,2
A14,24.0,A32,A45,2284.0,A61,A74,4.0,A94,<nil>,2.0,A123,28.0,A143,A152,1.0,<nil>,1.0,A192,A201,1
A11,6.0,A32,A42,428.0,A61,A75,2.0,A93,A101,1.0,<nil>,49.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,20.0,A34,A40,2235.0,A61,A73,4.0,<nil>,A101,2.0,A122,33.0,A143,A152,2.0,A173,1.0,A191,A201,2
A11,11.0,A30,A40,3939.0,A61,A73,1.0,A94,A101,3.690051824063285,A123,59.76309976718156,A143,A152,2.671851195184022,A171,2.0,A191,A201,1
A14,55.19467361981412,A32,A49,1264.0,A61,A75,2.090583360838429,A93,A101,4.0,<nil>,27.49918583112414,A143,A152,1.0,A173,1.6219083286071052,A191,A201,1
A12,24.0,A34,A43,1216.0,A61,A72,4.0,A93,A101,4.0,A124,38.0,A143,A152,2.0,A173,2.0,A191,A201,2
A12,18.0,A32,A43,1245.0,A61,A73,4.0,A94,A101,2.0,A123,33.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,48.0,A33,A40,7238.0,<nil>,A75,3.0,A94,<nil>,1.7237653956122836,A123,32.0,A143,A152,2.0,A173,1.162228617308367,A192,A201,1
A12,12.0,A32,A42,3017.0,A61,A72,3.0,<nil>,A101,1.0,A121,34.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,12.0,A32,A42,2762.0,A61,A75,1.0,A92,A101,2.0,A122,25.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,24.0,<nil>,A43,10569.159134357586,A61,A74,4.0,A92,A101,1.4332614956831198,A123,38.0,A143,A152,1.0,A173,1.5693240119531366,A191,A201,1
A12,49.30006519040824,A33,A49,9857.0,A62,A74,1.0,A91,A101,1.149413262866033,A122,31.0,A143,A152,2.932282546766801,A173,1.619966645751667,A191,A201,1
A14,10.0,A32,A42,2210.0,A61,A73,2.0,A93,A101,2.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201,2
A12,18.0,A34,A44,3590.0,A61,A71,1.5092843398461169,A91,A101,3.0,<nil>,40.0,A143,A152,3.0,<nil>,2.0,A191,A201,1
A13,18.0,A32,A40,1961.0,A61,A75,3.0,A92,A101,2.0,A123,23.0,<nil>,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A32,A43,1278.0,A61,A75,4.0,A93,A101,1.0,A121,36.0,A143,A152,1.0,A174,1.0,A191,A201,2
A12,11.0,A32,A43,4771.0,A61,A74,2.0,A93,<nil>,4.0,<nil>,51.0,A143,A152,2.0734779187703847,A173,1.507037997846662,A191,A201,1
A14,6.0,A32,A43,518.0,A61,A73,3.0,A94,A101,2.8230647622103464,A123,51.07072034536767,A143,A152,1.0,A173,1.8875643012107173,A191,A201,1
A12,12.0,A32,A43,1567.0,A61,A73,2.4142961518466306,A94,A101,1.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,36.501867859345765,A32,A43,3979.0,A61,A74,4.0,A94,A101,2.400244650464965,A122,41.0,A143,A152,1.04232233653545,A173,1.043489366295271,A192,A201,1
A11,27.0,A30,A49,5293.0,A61,A71,2.0,A93,A101,4.0,A122,50.0,A143,A152,2.0,<nil>,1.0,A192,A201,2
A11,24.0,A32,A41,2910.0,A61,A74,2.0,A93,A101,1.0,A124,34.0,A143,A152,1.0,A174,1.0,A192,A201,1
A11,48.0,<nil>,A46,7476.0,A61,A74,4.0,A93,A101,1.0,A124,50.0,A143,<nil>,1.0,A174,1.0,A192,A201,1
A12,36.0,A32,A41,9398.0,A61,A72,1.0,A94,A101,4.0,<nil>,28.0,A143,A152,1.0,A174,1.0,A192,A201,2
A13,18.0,A32,A43,2100.0,A61,A73,4.0,A94,A101,2.0,A123,37.0,<nil>,A152,1.0,<nil>,1.0,A191,A201,2
A14,11.0,A32,A49,2142.0,A61,A75,3.754912186358631,A93,A101,2.0,A122,52.90660275094448,A143,A152,1.0,A173,1.0,A191,A201,1
A11,18.92786533649272,A32,A49,2348.0,A61,A73,1.7557548881028309,A94,A101,2.0,A123,46.0,A143,A152,2.0,A173,1.375021774645408,A191,A201,1
A14,6.0,A32,A42,4611.0,<nil>,A72,1.0,A92,A101,4.0,<nil>,32.0,<nil>,A152,1.0,A173,1.0,A191,A201,2
A14,26.21274432893637,A32,A42,1402.0,A61,A74,3.0,<nil>,A101,4.0,A121,69.88728287936041,A143,A152,1.0,A173,1.5360799833139054,A191,A201,1
A14,6.0,A34,A49,1221.0,A61,A73,3.962341291300848,A93,A101,3.700545715884704,A123,41.157270749969896,A143,A152,2.0,A173,1.0,A191,A201,1
A14,24.0,A32,A49,1249.0,A61,A72,1.0093772057098254,A93,A101,2.0,<nil>,28.0,A143,A152,3.370621667266851,A173,1.8159561345837576,A191,A201,1
A14,48.0,A34,A46,6110.0,A61,A73,1.0,A93,A101,3.0,A124,31.0,A143,A152,1.0,A173,1.5709780909157445,A192,A201,1
A12,18.0,A34,A40,1056.0,A61,A75,3.0,A93,A101,3.0,A121,30.0,A143,A152,2.0,A173,1.0,A191,A201,2
A14,36.0,A32,A44,9055.0,A65,A73,2.0,<nil>,A101,4.0,A123,50.31320550761842,A143,A152,1.0,A173,2.0,A192,A201,1
A14,17.613275167378116,A32,A42,8869.68018953339,A61,A73,2.4506720852982595,A91,A101,3.4989197490542607,A123,52.2977112105534,A143,A152,1.0,<nil>,1.851029716397211,A192,A201,1
A14,12.0,A34,A43,886.0,A61,A73,2.2983807959241664,A92,A101,2.0,A123,21.0,A143,A152,2.6345590830989822,A173,1.0,A191,A201,1
A11,12.0,A32,A40,900.0,A61,A73,4.0,A94,A101,2.0,A123,23.0,<nil>,A152,1.0,A173,1.0,A191,A201,2
A14,12.0,A34,A43,1240.0,A61,A75,4.0,A93,A101,2.0,<nil>,38.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,24.57372334273905,A34,A40,2122.0,A61,A73,3.0,A93,A101,2.0,A121,39.0,<nil>,A152,2.0,A173,2.0,A192,A201,1
A11,15.0,A32,A43,1053.0,A61,A72,1.909704490733364,A92,A101,2.0,A121,40.503593482435214,A143,A152,1.0,A173,1.0,A191,A201,1
A11,12.0,A32,A40,1680.0,A61,A75,1.3047127012650264,A94,A101,1.0,A123,35.0,A143,<nil>,1.0,A173,1.0,A191,A201,1
A14,45.8380525765512,A32,A49,3343.0,A61,A73,4.0,A93,A101,3.972272734494119,A124,28.0,A143,A152,1.0,A173,1.9140335966103816,A192,A201,1
A13,25.091007824191035,A32,A45,5396.307615161431,A61,A73,2.0,A92,A101,2.0,A123,41.0,A143,A152,1.642457418930534,A173,1.0,A191,<nil>,1
A11,40.84519099483119,A32,A44,3139.4033617022296,A61,A72,4.0,A93,A101,1.0,A124,27.0,A143,A152,1.0,A173,1.7745702241516208,A191,A201,1
A11,48.0,A30,A41,4605.0,A61,A75,3.0,<nil>,A101,4.0,A124,24.0,A143,A152,2.0,A173,2.0,A191,A201,2
A14,30.0,A32,A43,15649.44360734453,A61,A73,4.0,A93,A101,1.164245523260647,A123,26.0,A143,A152,1.0,A173,1.455309733640493,A192,A201,1
A14,12.0,A32,A43,3077.0,A61,A73,2.0,A94,A101,4.0,A123,52.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,37.873992548982194,<nil>,A43,1967.0,A61,A75,1.268037415529334,A92,A101,2.7897817619112386,A123,53.27686106886084,A143,A152,1.0,A173,1.0,A192,A201,1
A12,36.0,A32,A46,3711.0,A61,A73,3.6354566759089977,A93,A101,2.0,A122,27.0,A143,<nil>,1.0,A173,1.0,A192,A201,1
A12,45.0,A34,A43,4746.0,A61,A72,4.0,A93,A101,2.0,A122,25.0,A143,A152,2.0,A173,1.0,A191,A201,2
A14,12.0,A32,A40,3527.0,A61,A72,2.0,A92,A101,3.0,A122,45.0,A143,A152,1.0,A173,2.0,A191,A201,1
A14,15.0,A32,A42,2186.0,A61,A74,1.0,A92,<nil>,4.0,A121,33.0,A143,A152,1.0,A173,1.0,A191,A201,2
A12,42.0,<nil>,A41,9283.0,A61,A71,1.0,A93,<nil>,2.0,A124,55.0,A143,A152,1.0,A174,1.0,A192,<nil>,1
A14,24.0,A32,A41,9277.0,A61,A71,3.500072816631685,A91,A101,4.0,A121,48.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,21.0,A32,A42,2288.0,A61,A72,4.0,A92,A101,4.0,A121,23.0,A143,A152,1.0,A173,1.0,A192,<nil>,1
A12,24.420353909540744,A32,A40,1995.0,A61,A72,1.1184223051693023,A93,A101,1.0,A122,27.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,57.020033926597584,A34,A44,15580.139656635662,A65,A72,1.0,A92,A101,1.0,A121,45.0,A143,A152,2.169238092124167,A171,1.0,A192,A201,1
A14,43.366555011663806,A31,A40,1224.0,A61,A73,3.0,A93,A101,1.0,A121,30.0,A143,A152,2.0,A173,1.3874170710669715,A191,A201,1
A12,18.0,A32,A40,1042.0,A61,A73,4.0,A92,A101,2.0,A122,33.0,A143,<nil>,1.0,A173,1.0,A191,<nil>,2
A14,24.0,A32,A44,8510.267929164645,A61,A75,4.0,A92,A101,4.0,<nil>,62.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,6.0,A32,A43,1382.0,A61,A73,1.0,A92,A101,1.0,<nil>,28.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,12.0,A32,A410,958.0,A61,A71,3.6344766483362574,A94,A101,3.0,A123,47.0,<nil>,A152,2.0,A173,1.4065404380596096,A191,A201,1
A11,36.0,A33,A49,2145.0,A61,A74,2.0,A93,A101,1.0,A123,24.0,A143,A152,2.0,A173,1.0,A192,A201,2
A12,6.0,A32,A43,368.0,A61,A74,1.4219444008948106,A92,A101,1.1298238431922496,A121,38.0,A143,A152,1.885022737363402,A173,1.9494238582545007,A191,<nil>,1
A12,15.0,A32,A45,2326.0,A61,A73,3.6936331704303695,A91,<nil>,1.145562555447328,A123,27.0,<nil>,A152,1.0,A173,1.0,A191,A201,1
A14,13.0,A32,A43,1409.0,A61,A71,2.0,<nil>,A101,4.0,<nil>,64.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,18.0,A34,A46,1864.0,A61,A73,4.0,A92,A101,2.0,A121,30.0,A143,A152,2.0,<nil>,1.0,A191,A201,2
A14,24.0,A34,A40,10403.456108113947,A61,A74,2.814075424610486,A92,A101,1.8103864442523303,<nil>,40.0,A143,A152,3.6483833250582896,A173,1.524775937083312,A191,A201,1
A14,4.2372802908342,A32,A48,5735.001532974534,A61,A73,4.0,<nil>,A101,4.0,A121,36.0,A143,A152,1.0,A173,1.9197070612643792,A192,A201,1
A14,36.0,A33,A42,14240.690098417695,A63,A74,3.974421141834267,A91,A101,4.0,<nil>,40.0,<nil>,A152,2.0,A174,1.450344597481375,A192,A201,1
A11,36.0,A32,A40,3249.0,A61,A74,2.0,A93,A101,4.0,<nil>,39.0,A143,A152,1.0,A173,2.0,A192,<nil>,1
A14,12.0,A32,A42,1935.0,A61,A75,4.0,A93,A101,2.22693585858302,A121,43.0,A143,A152,1.6003499600305693,A173,1.4035712654330277,A191,A201,1
A14,15.0,A32,A43,15816.495247728171,A61,A71,1.0200327398487612,A92,A101,2.0,A124,73.1212764689707,A143,A152,1.0,A174,1.0,A192,A201,1
A11,48.0,A34,A41,6331.0,A61,A75,4.0,A93,A101,4.0,<nil>,46.0,A143,<nil>,2.0,A173,1.0,A192,A201,2
A12,24.0,A32,A41,4113.0,A61,A72,3.0,A92,A101,4.0,A121,28.0,A143,<nil>,1.0,A173,1.0,A191,A201,2
A14,10.0,A32,A45,2901.0,A61,A72,2.821405049151914,A92,A101,4.0,<nil>,65.40913792311764,A143,A152,2.772743950478604,A173,1.0,A191,A201,1
