Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A14,24,A32,A49,2142,A65,A75,4,A93,A101,2,A123,71,A143,A152,2,A173,1,A192,A201,1
A11,30,A33,A42,8302,A61,A74,1,A94,A101,2,A123,46,A143,A152,2,A173,1,A192,A201,1
A14,12,A32,A42,4611,A61,A72,4,A92,A101,4,A123,32,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A42,1402,A65,A74,4,A92,A101,4,A123,37,A143,A152,1,A172,1,A192,A201,1
A14,15,A34,A42,1221,A65,A72,4,A94,A101,4,A123,70,A143,A152,2,A172,1,A192,A201,1
A14,24,A32,A40,1249,A61,A72,4,A94,A101,4,A122,28,A143,A152,1,A173,1,A191,A201,1
A14,48,A34,A46,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1
A12,15,A34,A40,1056,A61,A75,1,A93,A101,3,A124,30,A143,A152,2,A173,1,A191,A201,1
A14,36,A32,A46,9055,A65,A73,4,A93,A101,4,A123,35,A141,A153,1,A172,1,A192,A201,1
A11,48,A32,A42,10424,A62,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,1
A14,24,A32,A43,886,A61,A73,4,A92,A101,2,A123,21,A143,A152,2,A172,1,A192,A201,1
A11,24,A32,A40,900,A61,A73,4,A94,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,1
A12,40,A34,A42,1240,A61,A75,1,A94,A101,4,A122,38,A142,A152,2,A173,1,A191,A201,1
A11,24,A34,A40,2122,A61,A73,1,A94,A101,2,A123,30,A143,A152,2,A172,1,A191,A201,1
A12,15,A34,A43,14964,A61,A72,4,A94,A101,2,A123,27,A143,A152,1,A173,1,A192,A201,1
A12,40,A32,A43,6756,A65,A74,1,A94,A101,4,A122,60,A143,A152,1,A174,1,A191,A201,1
A14,15,A34,A42,12074,A61,A73,4,A93,A101,2,A123,61,A143,A152,1,A174,1,A191,A201,1
A13,34,A32,A410,9416,A61,A73,2,A93,A101,2,A123,30,A143,A152,1,A172,1,A192,A201,1
A11,6,A32,A44,7200,A61,A72,4,A92,A101,4,A123,27,A143,A152,2,A174,1,A192,A201,1
A11,24,A34,A41,2957,A61,A75,4,A93,A101,4,A121,38,A143,A152,2,A173,1,A192,A201,1
A14,24,A34,A43,15228,A61,A74,2,A92,A101,4,A123,26,A143,A152,2,A173,1,A192,A201,1
A14,12,A32,A42,1313,A61,A75,4,A93,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,2
A12,24,A32,A40,1967,A61,A75,2,A94,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1
A12,21,A32,A46,12056,A62,A75,2,A92,A101,2,A123,65,A143,A152,1,A173,1,A191,A201,1
A12,45,A34,A43,4746,A61,A72,4,A93,A101,2,A121,25,A143,A152,2,A172,1,A191,A201,1
A14,24,A32,A40,3527,A61,A72,4,A93,A101,4,A123,45,A143,A152,1,A174,1,A191,A201,1
A12,24,A32,A42,3069,A61,A75,4,A93,A101,4,A122,30,A143,A152,1,A173,1,A191,A201,2
A12,42,A32,A41,9283,A61,A73,2,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201,1
A14,24,A32,A41,3029,A61,A73,2,A93,A101,4,A123,30,A141,A152,1,A172,1,A191,A201,1
A14,30,A34,A42,2288,A61,A72,2,A94,A101,2,A123,23,A143,A151,1,A173,1,A192,A201,1
A12,24,A34,A410,1995,A61,A73,4,A93,A101,4,A123,47,A143,A152,1,A173,1,A191,A201,1
A11,12,A32,A43,2329,A61,A72,4,A93,A101,3,A123,21,A143,A152,1,A173,1,A192,A201,1
A14,12,A33,A40,1224,A61,A75,4,A94,A101,4,A123,30,A143,A152,1,A172,1,A191,A201,1
A12,21,A32,A40,1042,A61,A73,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1
A13,24,A32,A41,3757,A61,A75,4,A93,A101,2,A124,31,A143,A151,1,A173,1,A191,A201,1
A12,24,A32,A42,1382,A61,A74,4,A94,A101,4,A123,28,A143,A152,2,A173,1,A192,A201,1
A14,24,A34,A40,958,A61,A74,2,A92,A101,3,A121,47,A143,A152,2,A172,1,A191,A201,1
A11,36,A33,A49,2145,A61,A74,2,A93,A101,4,A123,24,A143,A152,2,A173,1,A192,A201,1
A12,12,A32,A43,9354,A61,A75,4,A93,A101,4,A123,50,A143,A152,1,A173,1,A191,A201,1
A12,15,A32,A44,2326,A65,A73,2,A94,A101,4,A123,27,A143,A152,1,A173,1,A191,A201,1
A14,25,A34,A44,13320,A61,A73,4,A93,A101,3,A122,75,A143,A153,1,A173,1,A192,A201,1
A14,15,A34,A46,1864,A61,A73,4,A92,A101,2,A123,30,A143,A152,2,A173,1,A191,A201,1
A14,24,A34,A41,1585,A61,A74,4,A93,A101,1,A122,30,A143,A152,1,A172,1,A192,A201,1
A14,36,A34,A40,3079,A61,A74,4,A93,A101,1,A123,36,A143,A152,1,A173,1,A191,A201,1
A14,24,A33,A42,7678,A65,A74,4,A93,A101,4,A123,30,A143,A152,2,A173,1,A191,A201,1
A11,36,A32,A40,3249,A61,A74,2,A93,A101,4,A122,30,A143,A152,1,A174,1,A192,A201,1
A12,24,A34,A42,1935,A61,A75,2,A94,A101,4,A123,43,A143,A152,1,A172,1,A191,A201,1
A14,15,A32,A40,3568,A61,A75,4,A92,A101,4,A123,30,A143,A152,1,A174,1,A191,A201,1
A11,48,A34,A41,6331,A61,A75,4,A93,A101,4,A122,38,A143,A152,2,A173,1,A192,A201,1
A12,24,A32,A41,4113,A61,A72,1,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A14,10,A32,A41,2901,A65,A72,1,A92,A101,4,A123,72,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A49,4139,A65,A73,1,A93,A101,3,A123,38,A143,A152,2,A173,1,A192,A201,1
A14,12,A32,A43,15486,A61,A72,4,A94,A101,4,A123,30,A143,A152,1,A172,1,A191,A201,1
A14,24,A34,A45,660,A62,A74,2,A94,A101,4,A123,23,A143,A152,1,A172,1,A191,A201,1
A11,24,A32,A41,3386,A61,A75,4,A93,A101,4,A122,30,A143,A152,1,A173,1,A192,A201,1
A14,9,A32,A42,7127,A61,A72,2,A92,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,2
A12,12,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,1
A12,20,A32,A41,6148,A65,A75,4,A94,A101,4,A123,31,A143,A152,2,A173,1,A192,A201,1
A14,34,A33,A49,1950,A65,A74,4,A92,A101,4,A123,31,A143,A153,2,A173,1,A192,A201,1
A14,24,A32,A43,1595,A61,A72,4,A94,A101,4,A123,31,A143,A152,1,A174,1,A191,A201,1
A12,24,A32,A40,3512,A62,A74,2,A93,A101,3,A123,30,A143,A152,2,A173,1,A192,A201,1
A11,12,A32,A43,1154,A65,A72,2,A92,A101,4,A123,25,A143,A152,1,A174,1,A191,A201,1
A11,18,A32,A43,2389,A61,A72,4,A92,A101,2,A123,27,A143,A152,1,A173,1,A191,A201,2
A14,39,A32,A40,11394,A62,A72,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A42,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1
A14,24,A34,A46,1393,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A173,1,A191,A201,2
A14,15,A33,A40,3556,A61,A73,4,A93,A101,4,A123,25,A143,A153,1,A173,1,A191,A201,1
A14,15,A32,A43,1979,A65,A73,4,A93,A101,4,A123,42,A143,A152,2,A174,1,A191,A201,1
A14,24,A34,A49,14259,A61,A75,4,A93,A101,4,A123,28,A143,A151,1,A173,1,A192,A201,1
A13,12,A32,A43,1337,A61,A72,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1
A12,26,A32,A41,1250,A61,A74,2,A93,A101,3,A123,30,A143,A152,1,A173,1,A192,A201,1
A14,24,A34,A40,2080,A61,A72,1,A94,A101,4,A123,74,A141,A152,1,A172,1,A192,A201,1
A14,36,A32,A44,1453,A61,A72,4,A94,A101,2,A122,26,A143,A152,1,A173,1,A191,A201,1
A12,18,A32,A42,3244,A61,A73,2,A92,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,1
A13,17,A32,A43,9735,A65,A73,4,A93,A101,4,A123,24,A143,A152,1,A174,1,A192,A201,1
A11,24,A34,A43,385,A61,A74,4,A92,A101,4,A122,58,A143,A152,1,A173,1,A191,A201,1
A12,12,A32,A42,918,A61,A73,4,A92,A101,4,A123,30,A143,A152,1,A173,1,A191,A201,1
A14,18,A32,A42,2708,A62,A73,2,A93,A101,1,A123,70,A143,A152,2,A172,1,A192,A201,1
A11,15,A32,A40,662,A61,A72,1,A93,A101,4,A123,25,A143,A152,1,A172,1,A192,A201,1
A11,24,A32,A40,1372,A61,A74,2,A94,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,1
A14,36,A34,A40,6614,A61,A75,4,A92,A101,4,A123,34,A142,A152,2,A173,1,A191,A201,1
A11,21,A34,A40,1602,A61,A75,4,A94,A101,3,A123,30,A143,A152,2,A173,1,A192,A201,2
A11,24,A32,A49,12488,A61,A72,4,A93,A101,2,A121,33,A143,A152,1,A174,1,A191,A201,1
A14,24,A34,A43,3430,A62,A75,1,A94,A101,4,A122,44,A143,A152,1,A173,1,A192,A201,1
A14,24,A33,A41,2476,A65,A75,4,A92,A101,4,A123,30,A143,A152,1,A173,1,A192,A201,1
A13,12,A32,A41,4716,A65,A72,1,A94,A101,3,A124,44,A143,A152,2,A172,1,A191,A201,1
A14,44,A32,A44,1542,A61,A73,4,A94,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,1
A14,30,A34,A49,3077,A61,A75,1,A93,A101,2,A123,40,A143,A152,2,A173,1,A192,A201,1
A11,12,A34,A45,2799,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A192,A201,1
A11,24,A33,A40,6730,A61,A74,1,A92,A101,4,A121,39,A143,A151,1,A172,1,A191,A201,1
A11,24,A32,A40,14016,A61,A73,4,A92,A101,2,A123,71,A143,A153,1,A173,1,A191,A201,1
A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1
A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A49,12204,A62,A73,2,A93,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,1
A12,24,A33,A40,7432,A61,A73,2,A92,A101,2,A123,54,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A42,2828,A61,A73,2,A93,A101,4,A122,22,A143,A152,1,A173,1,A192,A201,2
A11,24,A34,A49,12592,A61,A75,4,A93,A101,1,A123,52,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A49,13952,A61,A74,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1
A14,6,A32,A43,753,A61,A73,2,A92,A101,4,A123,21,A143,A152,1,A173,1,A192,A201,1
A14,60,A32,A40,6527,A61,A73,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A192,A201,2
A13,36,A32,A43,4473,A61,A75,4,A93,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,2
A14,12,A32,A42,2136,A61,A73,4,A94,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,1
A13,24,A32,A41,4679,A61,A74,1,A92,A101,1,A122,35,A143,A152,2,A172,1,A191,A201,1
A14,30,A32,A49,5003,A65,A73,2,A92,A101,4,A123,31,A142,A152,1,A172,1,A191,A201,1
A14,30,A34,A43,5771,A61,A74,4,A92,A101,2,A123,25,A143,A152,2,A174,1,A192,A201,1
A14,36,A34,A45,2613,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1
A14,42,A32,A44,11213,A61,A75,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1
A13,24,A34,A40,939,A62,A74,4,A94,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,1
A14,24,A32,A43,1901,A62,A73,2,A94,A101,4,A123,25,A143,A152,1,A172,1,A192,A201,1
A14,24,A32,A40,1344,A61,A74,4,A93,A101,2,A123,43,A143,A152,2,A172,1,A191,A201,1
A14,36,A33,A49,7980,A61,A72,4,A93,A101,4,A123,27,A143,A152,2,A173,1,A192,A201,1
A14,12,A32,A40,9124,A61,A75,4,A93,A101,4,A123,32,A143,A152,1,A173,1,A191,A201,1
A14,30,A34,A41,11054,A62,A73,4,A94,A101,2,A123,30,A143,A152,2,A174,1,A191,A201,1
A14,24,A34,A40,1163,A62,A73,4,A94,A101,4,A122,30,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A42,652,A61,A75,4,A92,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A42,708,A61,A73,2,A93,A101,4,A123,38,A143,A152,1,A172,1,A191,A201,1
A14,24,A32,A43,5943,A65,A72,4,A92,A101,4,A123,44,A143,A152,2,A173,1,A192,A201,1
A13,12,A32,A410,3049,A61,A72,4,A93,A101,3,A123,30,A143,A152,1,A173,1,A191,A201,1
A14,30,A32,A43,433,A61,A73,1,A92,A101,4,A122,22,A143,A152,1,A173,1,A191,A201,1
