Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A11,12.0,A32,A44,741.0,A62,A71,4.0,A92,A101,3.0,A122,22.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,24.0,A32,A45,2284.0,A64,A74,4.0,A94,A101,2.0,A123,28.0,A143,A153,1.0,A173,1.0,A192,A201,1
A11,6.0,A32,A42,428.0,A61,A75,2.0,A92,A101,1.0,A122,49.0,A141,A152,1.0,A173,1.0,A192,A201,1
A11,20.0,A34,A40,2235.0,A61,A73,4.0,A94,A103,2.0,A122,33.0,A141,A151,2.0,A173,1.0,A191,A202,2
A11,11.0,A30,A40,3939.0,A63,A73,1.0,A94,A103,3.690051824063285,A122,59.76309976718156,A143,A152,2.671851195184022,A171,2.0,A191,A202,1
A14,55.19467361981412,A34,A49,1264.0,A65,A75,2.090583360838429,A94,A101,4.0,A124,27.49918583112414,A143,A153,1.0,A172,1.6219083286071052,A191,A201,1
A12,24.0,A34,A43,1216.0,A62,A72,4.0,A93,A101,4.0,A124,38.0,A141,A152,2.0,A173,2.0,A191,A201,2
A12,18.0,A34,A43,1245.0,A61,A73,4.0,A94,A101,2.0,A123,33.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,48.0,A33,A40,7238.0,A65,A75,3.0,A94,A101,1.7237653956122836,A123,32.0,A141,A152,2.0,A173,1.162228617308367,A192,A202,1
A12,12.0,A32,A42,3017.0,A61,A72,3.0,A92,A101,1.0,A121,34.0,A143,A151,1.0,A174,1.0,A191,A201,1
A12,12.0,A32,A42,2762.0,A65,A75,1.0,A92,A101,2.0,A122,25.0,A141,A152,1.0,A173,1.0,A192,A201,2
A14,24.0,A32,A43,10569.159134357586,A63,A74,4.0,A92,A101,1.4332614956831198,A123,38.0,A143,A153,1.0,A173,1.5693240119531366,A191,A201,1
A12,49.30006519040824,A33,A49,9857.0,A62,A74,1.0,A91,A101,1.149413262866033,A122,31.0,A143,A152,2.9322825467668014,A171,1.619966645751667,A191,A201,1
A14,10.0,A32,A42,2210.0,A61,A73,2.0,A93,A101,2.0,A121,25.0,A141,A151,1.0,A172,1.0,A191,A201,2
A12,18.0,A34,A44,3590.0,A61,A71,1.5092843398461167,A91,A101,3.0,A123,40.0,A143,A152,3.0,A173,2.0,A192,A202,1
A13,18.0,A32,A40,1961.0,A61,A75,3.0,A92,A101,2.0,A123,23.0,A143,A152,1.0,A174,1.0,A191,A201,1
A14,24.0,A32,A43,1278.0,A61,A75,4.0,A93,A101,1.0,A121,36.0,A143,A152,1.0,A174,1.0,A192,A201,2
A12,11.0,A34,A43,4771.0,A61,A74,2.0,A93,A101,4.0,A122,51.0,A141,A152,2.0734779187703847,A173,1.507037997846662,A191,A201,1
A14,6.0,A32,A43,518.0,A62,A73,3.0,A94,A101,2.8230647622103464,A121,51.07072034536767,A143,A152,1.0,A173,1.8875643012107177,A191,A201,1
A12,12.0,A34,A43,1567.0,A63,A73,2.4142961518466306,A94,A101,1.0,A121,22.0,A143,A152,1.0,A173,1.0,A192,A201,1
A12,36.501867859345765,A32,A43,3979.0,A65,A74,4.0,A94,A101,2.400244650464965,A122,41.0,A142,A153,1.04232233653545,A173,1.0434893662952707,A192,A202,1
A11,27.0,A30,A49,5293.0,A61,A71,2.0,A93,A101,4.0,A122,50.0,A142,A152,2.0,A173,1.0,A192,A201,2
A11,24.0,A32,A41,2910.0,A61,A74,2.0,A93,A101,1.0,A124,34.0,A143,A153,1.0,A174,1.0,A192,A201,1
A11,48.0,A32,A46,7476.0,A61,A74,4.0,A93,A101,1.0,A124,50.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,36.0,A32,A41,9398.0,A61,A72,1.0,A94,A101,4.0,A123,28.0,A143,A151,1.0,A174,1.0,A192,A201,2
A13,18.0,A32,A43,2100.0,A61,A73,4.0,A93,A102,2.0,A121,37.0,A142,A152,1.0,A173,1.0,A191,A201,2
A14,11.0,A32,A49,2142.0,A64,A75,3.7549121863586308,A91,A103,2.0,A122,52.90660275094448,A143,A152,1.0,A171,1.0,A192,A202,1
A11,18.92786533649272,A34,A49,2348.0,A61,A73,1.7557548881028309,A94,A102,2.0,A124,46.0,A143,A152,2.0,A173,1.3750217746454079,A192,A201,1
A14,6.0,A32,A42,4611.0,A61,A72,1.0,A92,A101,4.0,A122,32.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,26.21274432893637,A33,A42,1402.0,A63,A74,3.0,A92,A101,4.0,A121,69.88728287936041,A143,A152,1.0,A173,1.5360799833139054,A192,A202,1
A14,6.0,A34,A49,1221.0,A65,A73,3.962341291300848,A94,A101,3.7005457158847044,A122,41.157270749969896,A142,A152,2.0,A173,1.0,A191,A201,1
A14,24.0,A32,A49,1249.0,A61,A72,1.0093772057098254,A94,A101,2.0,A124,28.0,A143,A152,3.370621667266851,A173,1.8159561345837576,A192,A201,1
A14,48.0,A34,A46,6110.0,A63,A73,1.0,A93,A101,3.0,A124,31.0,A143,A153,1.0,A171,1.5709780909157445,A192,A202,1
A12,18.0,A34,A40,1056.0,A61,A75,3.0,A93,A103,3.0,A121,30.0,A141,A152,2.0,A173,1.0,A191,A201,2
A14,36.0,A32,A44,9055.0,A65,A73,2.0,A93,A102,4.0,A123,50.31320550761842,A143,A151,1.0,A172,2.0,A192,A202,1
A14,17.613275167378116,A32,A42,8869.68018953339,A63,A73,2.4506720852982595,A91,A101,3.4989197490542607,A124,52.297711210553395,A141,A153,1.0,A173,1.851029716397211,A192,A201,1
A14,12.0,A34,A43,886.0,A65,A73,2.2983807959241664,A92,A101,2.0,A123,21.0,A141,A152,2.6345590830989822,A173,1.0,A191,A202,1
A11,12.0,A32,A40,900.0,A65,A73,4.0,A94,A101,2.0,A123,23.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,12.0,A34,A43,1240.0,A65,A75,4.0,A92,A101,2.0,A121,38.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,24.573723342739058,A34,A40,2122.0,A61,A73,3.0,A93,A101,2.0,A121,39.0,A142,A151,2.0,A172,2.0,A192,A201,1
A11,15.0,A34,A43,1053.0,A63,A72,1.9097044907333638,A92,A101,2.0,A121,40.503593482435214,A142,A152,1.0,A173,1.0,A191,A201,1
A11,12.0,A32,A40,1680.0,A63,A75,1.3047127012650264,A94,A101,1.0,A121,35.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,45.8380525765512,A34,A49,3343.0,A61,A73,4.0,A93,A101,3.972272734494119,A124,28.0,A141,A153,1.0,A173,1.9140335966103819,A192,A202,1
A13,25.091007824191035,A32,A45,5396.3076151614305,A65,A73,2.0,A91,A101,2.0,A123,41.0,A142,A152,1.642457418930534,A172,1.0,A191,A201,1
A11,40.845190994831185,A31,A44,3139.4033617022296,A63,A72,4.0,A93,A102,1.0,A124,27.0,A143,A153,1.0,A173,1.7745702241516208,A191,A201,1
A11,48.0,A30,A41,4605.0,A61,A75,3.0,A93,A101,4.0,A124,24.0,A143,A153,2.0,A173,2.0,A191,A201,2
A14,30.0,A32,A43,15649.44360734453,A62,A73,4.0,A92,A102,1.164245523260647,A123,26.0,A143,A151,1.0,A173,1.455309733640493,A192,A201,1
A14,12.0,A32,A43,3077.0,A61,A73,2.0,A93,A101,4.0,A123,52.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,37.873992548982194,A32,A43,1967.0,A61,A75,1.268037415529334,A92,A101,2.7897817619112386,A123,53.27686106886084,A143,A152,1.0,A173,1.0,A192,A201,1
A12,36.0,A32,A46,3711.0,A65,A73,3.6354566759089977,A93,A103,2.0,A122,27.0,A143,A152,1.0,A173,1.0,A192,A202,1
A12,45.0,A34,A43,4746.0,A61,A72,4.0,A93,A101,2.0,A122,25.0,A143,A152,2.0,A172,1.0,A191,A201,2
A14,12.0,A32,A40,3527.0,A65,A72,2.0,A93,A101,3.0,A122,45.0,A143,A152,1.0,A174,2.0,A192,A201,1
A14,15.0,A32,A42,2186.0,A65,A74,1.0,A92,A101,4.0,A121,33.0,A141,A151,1.0,A172,1.0,A191,A201,2
A12,42.0,A31,A41,9283.0,A61,A71,1.0,A93,A101,2.0,A124,55.0,A141,A153,1.0,A174,1.0,A192,A201,1
A14,24.0,A32,A41,9277.0,A64,A71,3.5000728166316852,A91,A103,4.0,A121,48.0,A141,A153,1.0,A173,1.0,A191,A202,1
A14,21.0,A30,A42,2288.0,A63,A72,4.0,A92,A101,4.0,A122,23.0,A143,A152,1.0,A174,1.0,A192,A202,1
A12,24.420353909540744,A34,A40,1995.0,A64,A72,1.1184223051693025,A93,A103,1.0,A122,27.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,57.020033926597584,A34,A44,15580.139656635662,A65,A72,1.0,A92,A103,1.0,A121,45.0,A141,A152,2.169238092124167,A171,1.0,A192,A202,1
A14,43.366555011663806,A31,A40,1224.0,A65,A73,3.0,A92,A102,1.0,A121,30.0,A143,A152,2.0,A172,1.3874170710669715,A191,A201,1
A12,18.0,A32,A40,1042.0,A65,A73,4.0,A92,A101,2.0,A122,33.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,24.0,A32,A44,8510.267929164645,A61,A75,4.0,A92,A102,4.0,A124,62.0,A141,A153,1.0,A173,1.0,A192,A202,1
A14,6.0,A34,A43,1382.0,A61,A73,1.0,A92,A101,1.0,A123,28.0,A143,A152,2.0,A173,1.0,A192,A201,1
A12,12.0,A32,A410,958.0,A64,A71,3.6344766483362587,A94,A103,3.0,A123,47.0,A143,A151,2.0,A171,1.4065404380596096,A191,A201,1
A11,36.0,A33,A49,2145.0,A61,A74,2.0,A93,A101,1.0,A123,24.0,A143,A152,2.0,A173,1.0,A192,A201,2
A12,6.0,A33,A43,368.0,A65,A74,1.4219444008948106,A92,A101,1.1298238431922496,A121,38.0,A141,A152,1.885022737363402,A171,1.9494238582545012,A192,A202,1
A12,15.0,A34,A45,2326.0,A62,A73,3.6936331704303704,A91,A101,1.145562555447328,A123,27.0,A143,A152,1.0,A171,1.0,A192,A202,1
A14,13.0,A32,A43,1409.0,A62,A71,2.0,A92,A101,4.0,A121,64.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,18.0,A34,A46,1864.0,A62,A73,4.0,A92,A101,2.0,A121,30.0,A143,A152,2.0,A173,1.0,A191,A201,2
A14,24.0,A34,A40,10403.456108113947,A61,A74,2.814075424610486,A93,A103,1.8103864442523303,A122,40.0,A143,A153,3.6483833250582904,A174,1.524775937083312,A191,A201,1
A14,4.2372802908341995,A32,A48,5735.001532974534,A65,A73,4.0,A91,A102,4.0,A121,36.0,A142,A152,1.0,A172,1.9197070612643792,A192,A202,1
A14,36.0,A33,A42,14240.690098417695,A63,A74,3.974421141834267,A91,A103,4.0,A123,40.0,A143,A152,2.0,A174,1.450344597481375,A192,A201,1
A11,36.0,A32,A40,3249.0,A61,A74,2.0,A93,A101,4.0,A124,39.0,A141,A153,1.0,A174,2.0,A192,A201,1
A14,12.0,A34,A42,1935.0,A65,A75,4.0,A93,A102,2.22693585858302,A121,43.0,A141,A152,1.6003499600305693,A174,1.4035712654330275,A192,A202,1
A14,15.0,A32,A43,15816.495247728171,A64,A71,1.0200327398487612,A92,A101,2.0,A124,73.1212764689707,A141,A152,1.0,A174,1.0,A192,A202,1
A11,48.0,A34,A41,6331.0,A61,A75,4.0,A93,A101,4.0,A124,46.0,A143,A153,2.0,A173,1.0,A192,A201,2
A12,24.0,A32,A41,4113.0,A63,A72,3.0,A92,A101,4.0,A123,28.0,A143,A151,1.0,A173,1.0,A191,A201,2
A14,10.0,A32,A45,2901.0,A64,A72,2.821405049151914,A92,A101,4.0,A121,65.40913792311764,A143,A152,2.772743950478604,A171,1.0,A191,A201,1
A14,4.391023760306039,A34,A49,4139.0,A65,A73,3.0,A94,A103,1.772197018110813,A123,27.0,A143,A151,2.584028316857475,A172,1.9260816165054535,A192,A201,1
A14,6.0,A30,A43,426.0,A61,A75,4.0,A94,A101,4.0,A123,39.0,A143,A152,1.0,A172,1.0,A191,A201,1
A14,54.74604451375541,A32,A45,660.0,A63,A74,2.0,A94,A103,4.0,A121,23.0,A141,A151,3.866482072415436,A173,1.0,A191,A202,1
